序号,方名,规范名,经典,出处,主治,功用,功用大类,功用小类,处方,炮制,方解,禁忌,化裁,附方,文献,用法用量,名家论述,备注
10000243,补中益气汤,补中益气汤,经典,《内外伤辨惑论》,１．脾虚气陷证。饮食减少，体倦肢软，少气懒言，面色萎黄，大便稀溏，舌淡脉虚；以及脱肛，子宫脱垂，久泻久痢，崩漏等。２．气虚发热证。身热自汗，渴喜热饮，气短乏力，舌淡，脉虚大无力。（本方常用于内脏下垂、久泻、久痢、脱肛、重症肌无力、乳糜尿、慢性肝炎等；妇科之子宫脱垂、妊娠及产后癃闭、胎动不安、月经过多；眼科之眼睑下垂、麻痹性斜视等属脾胃气虚或中气下陷者。）,补中益气，升阳举陷。,补益方,补气,黄芪（18克） 炙甘草（9克） 人参（6克） 当归（3克） 橘皮（6克） 升麻（6克） 柴胡（6克） 白术（9克）,为粗末，都作一服，水二盏，煎至一盏，去滓，食远稍热服（现代用法：水煎服。或作丸剂，每服10克-15克，日2-3次，温开水或姜汤下）。,本方治证系因饮食劳倦，损伤脾胃，以致脾胃气虚、清阳下陷所致。脾胃为营卫气血生化之源，脾胃气虚，纳运乏力，故饮食减少、少气懒言、大便稀薄；脾主升清，脾虚则清阳不升，中气下陷，故见脱肛、子宫下垂等；清阳陷于下焦，郁遏不达则发热，因非实火，故其热不甚，病程较长。时发时止、手心热甚于手背，与外感发热之热甚不休、手背热甚于手心者不同。气虚腠理不固，阴液外泄则自汗。治宜补益脾胃中气，升阳举陷。方中重用黄芪，味甘微温，入牌、肺经，补中益气，升阳固表，为君药。配伍人参、炙甘草、白术补气健脾为臣，与黄芪合用，以增强其补益中气之功。血为气之母，气虚时久，营血亦亏，故用当归养血和营，协人参、黄芪以补气养血；陈皮理气和胃，使诸药补而不滞，共为佐药。并以少量升麻、柴胡升阳举陷，协助君药以升提下陷之中气，《本草纲目》谓：“升麻引阳明清气上升，柴胡引少阳清气上行，此乃禀赋虚弱，元气虚馁，及劳役饥饱，生冷内伤，脾胃引经最要药也”，共为佐使。炙甘草调和诸药，亦为使药。诸药合用，使气虚得补，气陷得升则诸症自愈。气虚发热者，亦借甘温益气而除之。    关于用本方治疗气虚发热的理论依据，李东垣说：“是热也，非表伤寒邪皮毛间发热也，乃肾间脾胃下流之湿气闷塞其下，致阴火上冲，作蒸蒸燥热。”又说：“既脾胃虚衰，元气不足，而心火独盛。心火者，阴火也，起于下焦，其系系于心，心不主令，相火代之；相火，下焦包络之火，元气之贼也。火与元气不两立，一胜则一负。”（《内外伤辨惑论》卷中）可见这种发热在李东垣看来，就是“阴火”。其实质主要是脾胃元气虚馁，升降失常，清阳下陷，脾湿下流，下焦阳气郁而生热上冲，加之化源不足，“中焦取汁”不足以化赤生血，则心血不足以养心而致心火独亢而出现的热象。治疗这种发热，“惟当以甘温之剂，补其中，升其阳，甘寒以泻其火则愈。”“盖温能除大热，大忌苦寒之药泻胃土耳！今立补中益气汤。”（《内外伤辨惑论》）综上李氏创立“温能除大热”的理论，对区别外感与内伤发热的辨证、病机、治则、治法以及使用的宜忌等均有阐发，对深入理解本方意义和指导临床运用均有稗益。,阴虚发热及内热炽盛者忌用。,若兼腹中痛者，加白芍以柔肝止痛；头痛者，加蔓荆子、川芎；头顶痛者，加藁本、细辛以疏风止痛；咳嗽者，加五味子、麦冬以敛肺止咳；兼气滞者，加木香、枳壳以理气解郁。本方亦可用于虚人感冒，加苏叶少许以增辛散之力。,升阳益胃汤《《内外伤辨惑论》）、升陷汤（《医学衷中参西录》）、举元煎（《景岳全书》）,方论  罗美《古今名医方论》卷1：“凡脾胃一虚，肺气先绝，故用黄芪护皮毛而闭胰理，不令自汗；元气不足，懒言气喘，人参以补之；炙甘草之甘以泻心火而除烦，补脾胃而生气。此三味，除烦热之圣药也。佐白术以健脾；当归以和血；气乱于胸，清浊相干，用陈皮以理之，且以散诸甘药之滞；胃中清气下沉，用升麻、柴胡气之轻而味之薄者，引胃气以上腾，复其本位，便能升浮以行生长之令矣。补中之剂，得发表之品而中自安；益气之剂，赖清气之品而气益倍，此用药有相须之妙也。”《内外伤辨惑论》卷中：“气高而喘，身热而烦，其脉洪大而头痛，或渴不止，其皮肤不任风寒而生寒热。”,nan,nan,nan
10000262,安冲汤,安冲汤,经典,《医学衷中参西录》（清?张锡纯）,妇人月经过多，过期不止，或不时漏下,补气养血，固冲止血,补益方,补气,黄芪  龙骨  牡蛎  地黄  白芍   海螵蛸  茜草  续断,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000279,四物汤,四物汤,经典,《太平惠民和剂局方》（宋?太平惠民和剂局）,冲任虚损。月水不调，脐腹疼痛，崩中漏下。血瘕块硬，时发疼痛。妊娠胎动不安，血下不止，及产后恶露不下，结生瘕聚，少腹坚痛，时作寒热。,补血调血。,补益方,补血,当归（10克） 川芎（8克） 白芍（12克） 熟地（12克）,现代服法：作汤剂，水煎服。一剂煎三次，早、午、晚空腹时服。,本方是补血调经的主方，它是从《金匮要略·妇人妊娠篇》中的芎归胶艾汤去阿胶、艾叶、甘草而成。对诸种血虚证，均以本方为基础随证化裁。冲为血海，任主胞胎。若冲脉虚损，则女子月经量少，色淡，经期推迟。再加下焦寒滞，则小腹作痛。若脾虚而不摄血，肾虚冲任不固，则崩中漏下等证也可相继发生。又或肝寒血滞，血行不畅而瘀停，可兼见癥块硬结，少腹脐周作痛。本方一当归补血、活血，熟地补血为主，川芎入血分理血中之气，芍药敛阴养血。故全方尽属血分药。但组合得体，补血而不滞血，行血而不破血，补中有散，散中有收，构成治血要剂。,斟酌。,若血寒，经期腰腹疼痛，克酌加炮姜、桂枝、吴萸、枳壳、香附、桑寄生、续断温寒、理气，行血、止痛。如妊娠胎漏，可加阿胶、酒炒艾叶、炙甘草变为“芎归阿胶汤”。若血瘀不行，可加丹参、桃仁、红花而逐瘀行血。若血虚而有郁热，可加黄芩、丹皮。若气虚而不摄血，可加潞党参、黄芪、白术。总之，本方随证加减，可统治诸种血证。,圣愈汤、桃红四物汤,方论  张秉成：“夫人之所赖以生者，血与气耳。故一切补气诸方，皆从四君化出，一切补血之方，又当从此四物而化也。补气者，当求脾肺；补血者，当求之肝肾。地黄入肾，壮水补阴，白芍入肝，敛阴益血。二味为补血之正药。然血虚多滞，经脉隧道，不能滑利通畅，又恐地、芍纯阴之性，无温养流动之机，故必加以当归、川芎辛香温润，能养血而行血中之气以流动之。总之，此方乃调理一切血证是起所长，若纯属阴虚血少，宜静不宜动者，则归、芎之走串行散，又非所宜也。”《成方便读》,nan,nan,nan
10000280,当归补血汤,当归补血汤,经典,《内外伤辨惑论》,血虚阳浮发热证。肌热面赤，烦渴欲饮，脉洪大而虚，重按无力。亦治妇人经期、产后血虚发热头痛；或疮疡溃后，久不愈合者。（本方可用于妇人经期、产后发热等属血虚阳浮者，以及各种贫血、过敏性紫癜等属血虚气弱者。）,补气生血。,补益方,补血,黄芪（30克） 当归（6克）,以水二盏，煎至一盏，去滓，空腹时温服。,本方证为劳倦内伤，血虚气弱，阳气浮越所致。血虚气弱，阴不维阳，故肌热面赤、烦渴引饮，此种烦渴，常时烦时止，渴喜热饮；脉洪大而虚、重按无力，是血虚气弱，阳气浮越之象，是血虚发热的辨证关键。治宜补气生血，使气旺血生，虚热自止。方中重用黄芪，其用量五倍于当归，其义有二：本方证为阴血亏虚，以致阳气欲浮越散亡，此时，恐一时滋阴补血固里不及，阳气外亡，故重用黄芪补气而专固肌表，即“有形之血不能速生，无形之气所当急固”之理，此其一；有形之血生于无形之气，故用黄芪大补脾肺之气，以资化源，使气旺血生，此其二。配以少量当归养血和营，则浮阳秘敛，阳生阴长，气旺血生，而虚热自退。    至于妇人经期、产后血虚发热头痛，取其益气养血而退热。疮疡溃后，久不愈合，用本方补气养血，扶正托毒，有利于生肌收口。    《内外伤辨惑论》说：“血虚发热，证象白虎。”故本方应与白虎汤加以区别。白虎汤证是因于外感，热盛于内，病情属实；当归补血汤证由于内伤，为血虚气弱，病情属虚。因此，白虎汤证大渴而喜冷饮，身大热而大汗出，脉洪大而有力；当归补血汤证口渴则喜温饮，身虽热而无汗，脉大而虚，重按无力。所以《内外伤辨惑论》强调：“惟脉不长实，有辨耳，误服白虎汤必死。”,阴虚发热证忌用。,若妇女经期，或产后感冒发热头痛者，加葱白、豆豉、生姜、大枣以疏风解表；若疮疡久溃不愈，气血两虚而又余毒未尽者，可加银花、甘草以清热解毒；若血虚气弱出血不止者，可加煅龙骨、阿胶、山茱萸以固涩止血。,无。,方论  吴昆《医方考》卷3：“血实则身凉，血虚则身热。或以饥困劳役，虚其阴血，则阳独治，故令肌热、目赤、面红、烦渴引饮。此证纯象伤寒白虎汤之证，但脉大而虚，非大而长，为可辨尔。《内经》所谓脉虚血虚是也。当归味厚，为阴中之阴，故能养血；而黄芪则味甘补气者也，今黄芪多于当归数倍，而曰补血汤者，有形之血不能自生，生于无形之气故也。《内经》日：‘阳生阴长’，是之谓尔。”《内外伤辨惑论》卷中：“治肌热，燥热，口渴引饮，目赤面红，昼夜不息，其脉洪大而虚，重按全无。《内经》曰脉虚血虚，又云血虚发热证象白虎，惟脉不长实有辨耳，误服白虎汤必死。此病得之于饥困劳役。”,nan,nan,nan
10000281,归脾汤,归脾汤,经典,《正体类要》,１．心脾气血两虚证。心悸怔忡，健忘失眠，盗汗，体倦食少，面色萎黄，舌淡，苔薄白，脉细弱。２．脾不统血证。便血，皮下紫癜，妇女崩漏，月经超前，量多色淡，或淋漓不止，舌淡，脉细弱。（本方常用于胃及十二指肠溃疡出血、功能性子宫出血、再生障碍性贫血、血小板减少性紫癜、神经衰弱、心脏病等属心脾气血两虚及脾不统血者。）,益气补血，健脾养心。,补益方,补血,白术（3克） 当归（3克） 白茯苓（3克） 黄芪炒（3克） 远志（3克） 龙眼肉（3克） 酸枣仁炒 （3克） 人参（6克） 木香（1.5克） 炙甘草（1克）,加生姜、大枣，水煎服。,本方证因思虑过度，劳伤心脾，气血亏虚所致。心藏神而主血，脾主思而统血，思虑过度，心脾气血暗耗，脾气亏虚则体倦、食少；心血不足则见惊悸、怔忡、健忘、不寐、盗汗；面色萎黄，舌质淡，苔薄白，脉细缓均属气血不足之象。上述诸症虽属心脾两虚，却是以脾虚为核心，气血亏虚为基础。脾为营卫气血生化之源，《灵枢·决气》曰：“中焦受气取汁，变化而赤是为血”，故方中以参、芪、术、草大队甘温之品补脾益气以生血，使气旺而血生；当归、龙眼肉甘温补血养心；茯苓（多用茯神）、酸枣仁、远志宁心安神；木香辛香而散，理气醒脾，与大量益气健脾药配伍，复中焦运化之功，又能防大量益气补血药滋腻碍胃，使补而不滞，滋而不腻；用法中姜、枣调和脾胃，以资化源。全方共奏益气补血，健脾养心之功，为治疗思虑过度，劳伤心脾，气血两虚之良方。    本方的配伍特点：一是心脾同治，重点在脾，使脾旺则气血生化有源，方名归脾，意在于此；二是气血并补，但重在补气，意即气为血之帅，气旺血自生，血足则心有所养；三是补气养血药中佐以木香理气醒脾，补而不滞。故张璐说：“此方滋养心脾，鼓动少火，妙以木香调畅诸气。世以木香性燥不用，服之多致痞闷，或泄泻，减食者，以其纯阴无阳，不能输化药力故耳。”（《古今名医方论》）    本方原载宋·严用和《济生方》，但方中无当归、远志，至明·薛己补此二味，使养血宁神之效尤彰。本方的适应范围，随着后世医家的临床实践，不断有所扩充，原治思虑过度、劳伤心脾之健忘、怔忡。元·危亦林在《世医得效方》中增加治疗脾不统血之吐血、下血。明·薛己《内科摘要》增补了治疗惊悸、盗汗、嗜卧少食、月经不调、赤白带下等症。    归脾汤与补中益气汤同用参、芪、术、草以益气补脾。前者以补气药配伍养心安神药，意在心脾双补，复二脏生血、统血之职，主治心脾气血两虚之心悸怔忡、健忘失眠、体倦食少，以及脾不统血之便血、崩漏等。后者是补气药配伍升阳举陷药，意在补气升提，复脾胃升清降浊之能，主治脾胃气虚、气陷之少气懒言、发热及脏器下垂等。,斟酌。,崩漏下血偏寒者，可加艾叶炭、炮姜炭，以温经止血；偏热者，加生地炭、阿胶珠、棕榈炭，以清热止血。,无。,方论  汪昂《医方集解·补养之剂》：“此手少阴、足太阴药也。血不归脾则妄行，参、术、黄芪、甘草之甘温，所以补脾；茯神、远志、枣仁、龙眼之甘温酸苦，所以补心，心者，脾之母也。当归滋阴而养血，木香行气而舒脾，既以行血中之滞，又以助参、芪而补气。气壮则能摄血，血自归经，而诸症悉除矣。”《正体类要》卷下：“跌仆等症，气血损伤；或思虑伤脾，血虚火动，寤而不寐；或心脾作痛，怠情嗜卧，怔忡惊悸，自汗，大便不调；或血上下妄行。”,nan,nan,nan
10000282,圣愈汤,圣愈汤,经典,《医宗金鉴》,气血虚弱，气不摄血证。月经先期而至，量多色淡，四肢乏力，体倦神衰。,补气，补血，摄血。,补益方,补血,熟地（20克） 白芍（15克） 川芎（8克） 人参（一般用潞党参20克） 当归（15克） 黄芪（18克）,水煎服。,暂无。,斟酌。,暂无。,无。,无。,nan,nan,nan
10000283,桃红四物汤（原名‘加味四物汤”）,桃红四物汤,经典,《医垒元戎》，录自《玉机微义》,血虚兼血瘀证。妇女经期超前，血多有块，色紫稠粘，腹痛等。,养血活血。,补益方,补血,即四物汤加桃仁（9克）红花（6克）,水煎服。,暂无。,斟酌。,暂无。,无。,无。,nan,nan,nan
10000284,小营煎,小营煎,经典,《景岳全书》（明?张景岳）,阴虚血少，头晕心悸，面色萎黄，脉象细弱，妇女月经后期，量少色淡，小腹虚痛,养血，活血，调经,补益方,补血,当归  熟地黄  酒白芍  麸炒山药 枸杞子  炙甘草  鸡内金  鸡血藤,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000286,人参归脾丸,人参归脾丸,经典,《景岳全书》（明?张景岳）,用于气血不足，心悸，失眠，食少乏力，面色萎黄，月经量少，色淡,益气补血，健脾养心,补益方,补血,人参  黄芪  白术  茯苓  龙眼肉 炒酸枣仁  木香  炙甘草  当归   制远志  生姜  大枣  薏苡仁,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000287,八珍益母汤,八珍益母汤,经典,《景岳全书》（明?张景岳）,月经量少，色淡，经期错后,补气血，调月经,补益方,补血,党参  炒白术  茯苓  酒当归  丹参  醋白芍  熟地黄  炙甘草  益母草  黄芪,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000288,滋血汤,滋血汤,经典,《证治准绳》（明?王肯堂）,妇人皮聚毛落，心肺俱损，血脉虚弱，月水愆期,补血益气调经,补益方,补血,人参  山药  黄芪  茯苓  川芎   当归  白芍  熟地黄,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000289,定经汤,定经汤,经典,《傅青主女科》（清?傅山）,妇人经来断续，或前或后无定期,舒肝肾之气，补肝肾之精,补益方,补血,酒当归  熟地黄  茯苓  麸炒山药 酒白芍  酒菟丝子  柴胡  荆芥炭,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000290,四乌贼骨一蔗茹丸,四乌贼骨一蔗茹丸,经典,《素问》,女子血枯经闭,补肾活血，通补奇经,补益方,补血,海螵蛸  茜草,nan,nan,nan,nan,nan,nan,nan,nan,nan
