id,title,处方来源,别名,药物组成,功效,主治,用法用量,备注,处方来源书名,标准药物名称,symptom
215,宁志膏,《百一》卷十八。,宁神膏,辰砂（研）1分，酸枣仁（炒）1分，人参1分，茯神（去木）1分，琥珀1分，滴乳香1钱（别研）。,,妇人因出血多，心神不安，不得睡，语言失常;产后言语颠倒，狂言谵语者。,每服1钱，浓煎灯心、枣汤调下。,宁神膏（《医学入门》卷八）。,百一,朱砂、酸枣仁、人参、茯神、琥珀、乳香,出血 心神不安 不睡 言语謇涩 产后颠狂 狂言 言语謇涩
216,内灸丹,《百一》卷十八。,,荜茇半两，桂心半两，干姜（炮）半两，舶上硫黄（细研）半两，金钗石斛（细锉，酒浸）半两，附子（炮，去皮脐）半两，泽兰叶1两。,,妇人宫脏久冷，中焦停寒，心腹或脐下疼痛，肢节倦怠，心悸怔仲，食少恶心。,每服30丸，加至50丸，空心煎艾叶、盐汤送下。,,百一,荜茇、肉桂、干姜、硫黄、石斛、附子、泽兰,久冷 中焦 停寒 脐下疼痛 肢体怠情 心神惊悸 饮食不下 恶心
217,六合散,《百一》卷十八。,,当归1两，白芍药1两，地黄1两，甘草2两，人参1两，白术1两。,,妇人产后下血。,上(口父)咀。每服3钱，水1盏，煎8分服。先进固经丸，次服此药。,,百一,当归、白芍、干地黄、甘草、人参、白术,产后崩中下血
218,不换金丸,《百一》卷十八。,,当归、没药、玄胡索、川芎、藁本、人参、白茯苓、牡丹皮、甘草、白芍药、白术、熟干地黄、白芷、白薇各等分。,,妇人诸虚不足，心腹疼痛。,上为细末，炼蜜为丸，如弹子大。每服1丸，酒送下。,,百一,当归、没药、新疆延胡索、川芎、藁本、人参、茯苓、牡丹皮、甘草、白芍、白术、干地黄、白芷、白薇,脏腑虚损 心腹疼痛
221,二妙散,《百一》卷十八引柳正之方，名见《医方类聚》卷二二九引《澹寮》。,,蛇退1条（全者，烧存性），蚕纸1片（方5寸以上，烧存性，约与蛇退相等）。,催生。,难产。,上药合和，只作1服。以麝香温酒调下。,,医方类聚,蛇蜕、蝉蜕,难产
222,神效散,《百一》卷十八引钱季毅方，名见《医方类聚》卷二二四引《胎产救急方》。,,缩砂仁（去膜，熨斗内略炒）。,,妊孕攧或闪肭。伤损胎动，痛不可忍，漏胎下血，血尽则死，及崩暴下血者。,每服2钱，温酒调下；不饮酒人，米饮调下，或盐汤亦得。,,胎产救急方,砂仁,闪肭 动胎 胎漏 血崩
224,立圣鹤顶丹,《百一》卷十八引朱炳方。,立圣丹,寒水石不拘多少（江南人谓之软石膏者，分作2处，1半生，1半炭火煅令通红）。,,"难产,难产横逆恶疾，死胎不下。",每用2大钱，以新汲水调下。,立圣丹（《普济方》卷三五六）。,百一,寒水石,难产 横逆 死胎不出
276,神仙解毒万病丸,《百一》卷十七。,神仙追毒丸、圣后丹、玉枢丹、解毒丹、万病丸、紫金锭、神仙解毒丸、圣援丹、神仙解毒万病丹、太乙丹、紫金丹、神仙太乙丹、万病解毒丹、神仙太乙紫金丹、万病回春丹、追毒丸、万病解毒丸、卫生宝、解毒万病丹、太乙玉枢丹、太乙紫金锭、神仙万病解毒丸,文蛤3两（淡红黄色者，捶碎，洗净），红芽大戟1两半（净洗），山茨菇2两（洗），续随子1两（去壳秤，研细，纸裹压出油，再研如白霜），麝香3分（研）。,解诸毒，疗诸疮，利关窍。,一切药毒，恶草、菇子、菌蕈、金石毒，吃自死马肉、河豚发毒，痈疽发背未破，鱼脐疮，诸般恶疮肿毒，汤火所伤，百虫、犬、鼠、蛇伤，时行疫气，山岚瘴疟，急喉闭，缠喉风，脾病黄肿，赤眼疮疖，冲冒寒暑，热毒上攻，或自缢死，落水及打折伤死，但心头微暖未隔宿者，急中及癫邪，喝叫乱走，鬼胎鬼气，诸般疟疾，小儿急慢惊风，五疳五痢，新久头痛，风气疼痛等。,痈疽、发背未破之时，用冰水磨涂痛处，并磨服，良久觉痒，立消；阴阳二毒，伤寒心闷，狂言乱语，胸膈壅滞，邪毒未发，及瘟疫，山岚瘴气，缠喉风，入薄荷1小叶，以冷水同研下；急中及癫邪，喝叫乱走，鬼胎鬼气，并用暖无灰酒送下；自缢、落水死，头暖者，及惊死、兔迷死，未隔宿者，冷水磨灌下；蛇、犬、蜈蚣伤，冷水磨涂伤处；诸般疟疾，不问新久，临发时煎桃柳汤磨下；小儿急慢惊风，五疳五痢，与薄荷小叶用蜜水同磨下；牙关紧急，磨涂1丸，分作3服，如丸小，分作2服，量大小与之；牙痛，酒磨涂及含药少许吞下；汤火伤，以东流水磨涂伤处；打扑伤损，炒松节无灰酒送下；年深日近太阳头疼，用酒入薄荷杂磨，纸花贴太阳穴上；诸般痫疾，口面?斜，唇眼掣眨，夜多睡涎，言语謇涩，卒中风口噤，牙关紧急，筋脉挛缩，骨节风肿，手脚疼痛，行止艰辛，应是风气疼痛，并用酒磨下。,神仙追毒丸、圣后丹、玉枢丹、解毒丹、万病丸、紫金锭（《外科精要》卷中）、神仙解毒丸（《医方类聚》卷一九六引《王氏集验方》）、圣援丹（《普济方》卷二八三）、神仙解毒万病丹（《奇效良方》卷六十九）、太乙丹、紫金丹、神仙太乙丹（《外科经验方》）、万病解毒丹（《医学入门》卷七）、神仙太乙紫金丹、万病回春丹（《古今医鉴》卷十六）、追毒丸（《准绳·疡医》卷一）、万病解毒丸（《寿世保元》卷十）、卫生宝（《摄生秘剖》卷三）、解毒万病丹（《兰台轨范》卷一）、太乙玉枢丹（《霍乱论》卷下）、太乙紫金锭（《理瀹》）、神仙万病解毒丸（《中国医学大辞典》）。,百一,五倍子、红大戟、山慈菇、续随子叶、麝香,痈疽发背 疮疥 疟 咽喉闭塞 肿满 眼赤 疖 热毒 癫痫 鬼胎 疟 小儿惊痫 疳 痢不止 头痛 疼痛
313,十补丸,《百一》卷十五。,,附子1两（用防风1两，锉如黑豆大，盐4两，黑豆1合，炒附子裂，去诸药，只用附子，去皮脐），葫芦巴1两，木香1两，巴戟（去心）1两，川楝子（炮，取肉）1两，官桂1两，延胡索1两，荜澄茄（去蒂）1两，舶上茴香（炒）1两，破故纸（炒）1两。,,小肠寒疝、伏梁、奔豚、痃气等疾；亦治妇人盲肠气。,每服30-50丸，空心酒送下；妇人醋汤送下。若入益智子亦可。,,百一,附子、胡芦巴、木香、巴戟天、川楝子、桂花、延胡索、荜澄茄、八角茴香、补骨脂,寒疝 奔豚
344,沉香猪肚丸,《百一》卷四。,,沉香3两，丁香3两，木香3两，川椒（炒）3两，荜澄茄3两，陈皮3两，葫芦巴（炒）3两，破故纸（炒）3两，石茱萸3两，桂3两，巴戟（去心）3两，茴香（炒）3两，牛膝3两，肉苁蓉3两，附子（炮，去皮脐）3两，槟榔4两，肉豆蔻4两。,,男子、妇人久病气虚。,每服50丸，以温酒送下；妇人以醋汤送下，与壮气丸相间服。,,百一,沉香、丁香、木香、花椒、荜澄茄、陈皮、胡芦巴、补骨脂、川楝子、巴戟天、小茴香、牛膝、肉苁蓉、附子、槟榔、肉豆蔻,
350,万和散,《百一》卷四。,,茴香（炒）1两，萝卜子（生）1两，官桂（去粗皮）1两，蓬莪术（湿纸裹，煨）1两，香白芷1两半，陈皮1两1分（去瓤），麦糵1分，荆三棱3两半（用湿纸裹，炮），干姜3分（煨），甘草1两3分（炙），白术（米泔浸1宿）半两，桔梗半两，牵牛子（炒，过熟不妨）半两。,,男子妇人，一切气刺气闷，气胀食伤；及中毒积滞，两胁脐下四肢攻注；宿有气疾，心腹痞塞，呕吐，不思饮食；伤风烦闷，鼻出清水，夜多盗汗，渐成瘦弱；肠滑水泻不止。,每服1钱，水8分盏，煎至6分，去滓，稍热服；或入大枣煎如汤，点服亦得；妇人血气，入当归少许；心痛，炒茴香酒调下；中毒，热酒调下；小儿久泻不止，及泻后伤动胃气，不思饮食，瘦瘁，并以药1钱，大枣半个，水5分，煎4分，热服。,,百一,小茴香、莱菔子、桂花、莪术、白芷、陈皮、麦芽、三棱、干姜、甘草、白术、桔梗、牵牛子,气刺 气短促 气壅 食伤 气疾 心腹满急 干呕 饮食不下 感冒 烦愦 鼻出清水 有汗 瘦弱 肠滑 痢不止
373,加减青州白丸子,《百一》卷五。,,白附子2两，天南星2两，半夏2两，川姜2两，天麻1两，白僵蚕1两，干蝎1两，川乌头（去皮尖）半两。,常服安神定志，去风痰。,卒中风邪，半身不遂，口眼?斜，痰涎闭塞，喘嗽咯血，胸膈满闷；小儿惊风。妇人血风，大人洗头风，并宜服之。,每服30-50丸，生姜汤送下，不拘时候。如瘫风，温酒送下；小儿惊风，薄荷汤送下5-7丸。,,百一,白附子、天南星、半夏、干姜、天麻、白僵蚕、桑蠹虫、乌头附子尖,中风 半身不遂 痰饮 闭塞 喘嗽 咯血 胸中胀满 小儿惊痫 血风劳 偏正头风
394,治痰茯苓丸,《百一》卷五引《全生指迷方》。,茯苓丸、消痰茯苓丸、指迷茯苓、千金茯苓丸、世传茯苓丸、茯苓指迷丸、指迷丸,茯苓1两，枳壳（麸炒，去瓤）半两，半夏2两，风化朴消1分。,潜消痰积，燥湿导痰。,痰浊内阻，手臂痠痛或抽掣，不能举物，肢体麻木，眩晕，梅核气，癔病，及妇人产后发喘，四肢浮肿。,每服30丸，以生姜汤送下。,茯苓丸（《妇人良方》卷三）、消痰茯苓丸（《直指》卷十八）、指迷茯苓丸（《玉机微义》卷四）、千金指迷丸（《医学入门》卷七）、世传茯苓丸（《准绳·女科》卷二）、茯苓指迷丸（《不居集》上集卷十七）、指述丸（《金鉴》卷四十一）。,百一,茯苓、枳壳、半夏、朴消,痰浊内阻 痠痛 肢体麻木 眩晕 产后气短 四肢肿
401,抱胆丸,《百一》卷一。,灵砂观音丹,水银2两，朱砂1两（细研），黑铅1两半，乳香1两（细研）。,,癫痫风狂，或因惊恐怖畏所致；及妇人产后血虚，惊气入心，并室女月脉通行，惊邪蕴结。,每服1丸，空心用井花水送下。病者得睡，切莫惊动，觉来即安。再进1丸，可绝根本。,,百一,水银、朱砂、铅、乳香,癫痫 癫痫 悸动 产后百损 惊气入心
411,水金丹,《百一》卷一引钱观文方。,,透明硫黄1斤，轻粉1两。,补暖丹田，壮元阳。,男子妇人一切虚危痼冷，肠滑不禁，腹内缠疼，泻注不已，手足厥逆，饮食生冷吐泻不止；兼治妇人室女赤白带下，面黄萎瘦。,每服7丸或10丸，空心人参汤送下。,,百一,硫黄、轻粉,肠滑不禁 腹内坚痛 痢不止 手足厥寒 吐泻 赤白带下 面色黄青
415,软朱砂法,《百一》卷一引赵从简方。,软朱砂延寿水仙丹,颗块墙壁辰砂1两（研为粉）。,补心气，轻健手足。壮筋骨，延年益寿。,废忘。男子元气虚损，酒色损惫，面色黄瘦，多睡少力，、精神恍惚，胸膈不利，多倦怠，夜多小便；兼治妇人血气血风等疾，及瘴疾。,空心以新水送下7丸。若用1匙头许，以温酒化下亦得。,软朱砂延寿水仙丹（《普济方》卷二二三引《经效济世方》）。,百一,朱砂,元气虚惫 面色黄青 多睡 少力 精神恍惚 咽膈不利 多倦 小便利数 妇人血气 血风劳
434,窜毒丸,《保赤存真》卷十。,追毒保嗣丹,穿山甲（头尾胸脊四足鳞甲各用数片）4两，刺猬皮（依上用法）3两，蝉蜕2两，皂角刺1两，蛇蜕2两，土茯苓2两，黄芩8钱，槐花米1两，川连6钱，真人参5钱，黄柏1两，栀仁1两。,,大人因发梅疮误服丹石，闭毒伏于命门，以致所生儿女均于月内从下身起发毒而殇。,,,保赤存真,穿山甲、刺猬皮、蝉蜕、皂荚、蛇蜕、土茯苓、黄芩、槐花、黄连、人参、黄柏、栀子,
461,小调经散,《保命歌括》卷二十六。,,白芷5钱，没药3钱（另研），肉桂3钱，甘草3钱，赤芍药1钱，细辛1钱（洗去土），当归1钱（酒洗），玄胡索1钱（炒），琥珀1钱（另），麝5分（另研）。,,妇人产后，败血流入经络，化为水作肿。,每服2钱，用泽兰煎汤调服。,,保命歌括,白芷、没药、肉桂、甘草、赤芍、细辛、当归、新疆延胡索、琥珀,产后 败血
464,香附桃仁丸,《保命歌括》卷二十七。,,香附子（醋煮）4两，桃仁（去皮尖）1两，海石（醋煮）2两，白术1两。,,妇人血块如盘，有孕，难服峻药。,白汤送下。,,保命歌括,附子、桃仁、海浮石、白术,血块
490,家传秘结祛痛散,《保命歌括》卷三十。,,青皮（去白）2钱，灵脂（研飞，去沙土）2钱，川楝子肉2钱，穿山甲（土拌炒）2钱，良姜（香油炒）1钱5分，玄胡索1钱5分，没药1钱5分，沉香1钱，八角茴香2钱，槟榔1钱5分，木香1钱2分，砂仁少许。,,诸般心气疼痛，气滞不行，攻刺心腹，痛连胸胁，小肠吊疝，及妇人血气刺痛。,每服1钱，加盐一星，用酒或滚水调下。,,保命歌括,青皮、五灵脂、川楝子、穿山甲、高良姜、新疆延胡索、没药、沉香、八角茴香、槟榔、木香、砂仁,心气疼痛 气滞不行 腹刺痛 胸胁疼 攻刺
492,没药散,《保命歌括》卷三十。,,虻虫（去翅足）1钱，水蛭（炒）1钱，没药1钱，桃仁泥14个。,,妇人产后败血聚于胸中作痛。,河间四物汤倍芎归汤调服。,,保命歌括,虻虫、水蛭、没药、桃仁,产后滞血 胸膈疼痛
508,人参养荣丸,《保命歌括》卷十二。,,白术1两半，炙耆1两半，白芍1两半，远志（甘草水煮）1两半，当归2两，山药2两，熟地黄2两，五味2两，人参2两，白茯苓2两，山萸肉5钱，生地黄5钱，陈皮（洗）8钱。,,男、妇气血两虚，精神短少，脾胃不足，形体羸瘦。,每服80丸，盐汤送下；寒月，盐、酒送下。,,保命歌括,白术、黄芪、白芍、远志、当归、山药、熟地黄、五味子、人参、茯苓、山茱萸、鲜地黄、陈皮,气血 精神不守 脾胃不足 肌体羸瘦
516,橘核丸,《保命歌括》卷十六。,,橘核（炒）、南星（炮）、半夏（洗）、黄柏（酒炒）、苍术（盐炒）、山楂肉、白芷、神曲（炒）、滑石、昆布、吴茱萸（酒、醋分浸）各等分。,,男子木肾，妇人阴(疒颓)。,每服50-70丸，空心盐汤送下。,,保命歌括,橘核、天南星、半夏、黄柏、苍术、山楂、白芷、神曲、滑石、昆布、吴茱萸,
567,增损四物汤,《保命集》卷下。,增味四物汤、加减四物汤、加味四物汤,四物汤加广荗1两，京三棱1两，桂1两，干漆1两。,,妇人血积。停经血滞，少腹结痛。,各依法制，如四物汤煎服。,增味四物汤（《兰室秘藏》卷中）、加减四物汤（《医学纲目》卷二十五引东垣方）、加味四物汤（《会约》卷十四引《良方》）。,保命集,当归、川芎、白芍、熟地黄、莪术、三棱、干漆,月经不通 血滞 少腹急痛
568,增损柴胡汤,《保命集》卷下。,,柴胡8钱，黄芩4钱半，人参3钱，半夏3钱，石膏4钱，知母2钱，黄耆5钱，甘草4钱（炙）。,,产后经水适断，感于异症，手足牵搐，咬牙昏冒。,每服半两，加生姜5片，大枣4个，以水1盏半，煎至1盏，温服，不拘时候。,,保命集,柴胡、黄芩、人参、半夏、石膏、知母、黄芪、甘草,经水忽来忽断 手足挛急 牙关紧闭 心神多躁
572,黑白散,《保命集》卷下。,,乌金石（烧红，醋淬7遍，另为细末）、寒水石（烧存性，为末）各等分。,,妇人产后儿枕大痛。,另顿放，临服各炒末1钱半，粥饮汤下。痛止便不可服；未止再服，大效。,,保命集,铁、寒水石,产后儿枕
578,紫金丹,《保命集》卷下。,,代赭石、（石羌）砺石各等分。,,产后冲胀，胸中有物状，噎气不降。,每服30-50丸，酒送下；胸中痛，当归汤送下。久服治血癖。,,保命集,代赭石、姜石,产后四肢浮肿
579,黄龙汤,《保命集》卷下。,,小柴胡汤减半夏。,,产前寒热。,,,保命集,柴胡、半夏、人参、甘草、黄芩、生姜、大枣、半夏,寒热
585,桃花散,《保命集》卷下。,,新石灰1两，黄丹半钱。,,产后不烦而渴。,每服1钱，渴时冷浆水调下。,,保命集,石灰、铅丹,产后不烦而渴
586,桂枝四物汤,《保命集》卷下。,,四物汤加桂枝倍当归。,,妇人经产一切血病，风感太阳卫分，发热有汗。,,《金鉴》本方用当归、熟地、川芎各二钱，白芍（炒）三钱，桂枝三钱，甘草（炙）一钱，加生姜、大枣，水煎服。,保命集,当归、川芎、白芍、熟地黄、桂枝、当归,风感太阳 遍身壮热 有汗
587,柴胡四物汤,《保命集》卷下。,,川芎1两半，熟地黄1两半，当归1两半，芍药1两半，柴胡8钱，人参3钱，黄芩3钱，甘草3钱，半夏3钱，曲3钱。,,妇人虚劳日久，血虚阴亏，微有寒热；经行感冒，热入血室；经枯发热，妊娠吐衄。日久劳虚，脉沉而浮。午后或夜分发热。三阴经温疟或夜发者，脉虚弦数者。妊娠忧虑惊怒伤其脏腑，气干于上，血随溢而心闷，胸满久不已，必致堕胎。,煎服。,,保命集,川芎、熟地黄、当归、红药子、柴胡、人参、黄芩、甘草、半夏,虚劳 血亏 寒热 经行感冒 热入血室 经枯发热 妊娠吐衄 虚劳 脉沉而浮 温疟 脉数而涩 悸动 心闷 胸满 堕胎
589,荆芥散,《保命集》卷下。,,荆芥穗1两3钱，桃仁5钱（去皮尖，炒）。,,产后风虚血眩，精神昏昧。,每服3钱，温水调服。,,保命集,荆芥、桃仁,产后气虚 精神昏昧
590,荆芥散,《保命集》卷下。,,小柴胡汤加荆芥穗5钱，枳壳5钱（麸炒，去瓤）。,,产后经水适断，感于异证，手足牵搐，咬牙昏冒，服秦艽汤前证已退者。,煎服。,,保命集,柴胡、半夏、人参、甘草、黄芩、生姜、大枣、荆芥、枳壳,经水忽来忽断 手足挛急 牙关紧闭 心神多躁
595,枳壳汤,《保命集》卷下。,枳芩散,枳壳半两，黄芩半两，白术1两。,进食和中。,妇人胎漏，及因事下血；恶阻。,每服5-7钱，水1盏，煎至7分，食前空心服。,枳芩散（《郑氏家传女科万金方》卷三）。,保命集,枳壳、黄芩、白术,胎漏 月经过多 妊娠呕恶冲逆
596,枳壳汤,《保命集》卷下。,,枳壳3两（炒），黄芩1两。,,妇人怀胎腹胀。,每服半两，水1盏半，煎1盏，去滓温服。,,保命集,枳壳、黄芩,心腹胀
602,苦楝丸,《保命集》卷下。,,苦楝（碎，酒浸）、茴香（炒）、当归各等分。,,妇人赤白带下。,每服30-50丸，空心酒送下。,,保命集,苦楝皮、小茴香、当归,赤白带下
603,苦杖散,《保命集》卷下。,,苦杖不拘多少。,,从高处坠下，涎潮昏冒；产后瘀血不散，或聚血。,热酒调下。,,保命集,虎杖,涎潮 心神多躁 产后滞血
610,没药散,《保命集》卷下。,,虻虫1钱（去足羽，炒），水蛭1钱（炒），麝香1钱，没药3钱。,,血运，血结，血聚于胸中，或偏于少腹，或连于胁肋；产后血瘀作痛。,用四物汤4两，倍当归、川芎，加鬼箭羽、红花、玄胡各1两，水煎调服。,,保命集,虻虫、水蛭、麝香、没药,血晕 血结 产后腹中痛
613,芍药汤,《保命集》卷下。,,芍药1斤，黄芩6两，茯苓6两。,养阴去热。,产后诸积不可攻者。产后热积，脉数弦虚微涩者。,每服半两，水煎，去滓温服。,,保命集,红药子、黄芩、茯苓,产后 脉数而涩
614,防风汤,《保命集》卷下。,,苍术4两，防风3两，当归1两半，羌活1两半。,正脾胃之气，兼除风邪。,产后经水适断，感于异证，手足抽搐，咬牙昏冒，服增损柴胡汤及秦艽汤后，前证已退，用此调治。,每服1-2两，水3盏，煎至1盏半，取清，连续常服，不拘时候。,,保命集,苍术、防风、当归、羌活,经水忽来忽断 手足挛急 牙关紧闭 心神多躁
617,血风汤,《保命集》卷下。,血风散,秦艽、羌活、防风、白芷、川芎、芍药、当归、地黄、白术、茯苓各等分。,,产后诸风，痿挛无力。,每服50-70丸。,血风散（《万氏家抄方》卷五）。本方方名，《医学纲目》（世界书局本）引作“血气汤”。制成丸剂，名“血风丸”（见《医学入门》）。《活法机要》有半夏、黄耆。,保命集,秦艽、羌活、防风、白芷、川芎、红药子、当归、干地黄、白术、茯苓,产后气虚 痿挛 无力
618,红花散,《保命集》卷下。,,干荷叶、牡丹皮、当归、红花、蒲黄（炒）各等分。,,妇人产后血晕，胞衣不下，血崩，月事不调，及远年干血气。,每服半两，酒煎和滓温服。如胞衣不下，另用榆白皮研末煎汤，调服半两。,,保命集,荷叶、牡丹皮、当归、红花、蒲黄,产后 血晕 胎衣不下 血崩 月经不调 干血
619,芍药六合汤,《保命集》卷下。,,四物汤内倍加芍药。,,妇人气充经脉，月事频并，脐下痛。,,,保命集,当归、川芎、白芍、熟地黄、红药子,月经过多 脐腹冷痛
626,甘草芍药汤,《保命集》卷下。,,甘草1两，芍药1两，生地黄1两，川芎1两。,,妇人伤寒，太阳标病，汗解表除，邪热内攻，入血室，经水过多，无满实者。,上(口父)咀。每服1两，水3盏，煎1盏半，去滓，入棕榈灰5钱，调匀温服。不止者，刺隐白。,,保命集,甘草、红药子、鲜地黄、川芎,伤寒 风感太阳 月经过多
628,白圣散,《保命集》卷下。,,樟柳根3两，大戟2两半，甘遂1两（炒）。,,产后腹大坚满，喘不能卧。,每服2-3钱，热汤调下。取大便宣利为度。,,保命集,藏茄、大戟、甘遂,产后积聚癥块 喘不能卧
636,玄胡六合汤,《保命集》卷下。,四物苦楝汤,四物汤加玄胡1两，苦楝（炒）1两。,,妇人脐下冷，腹痛腰脊痛。,,四物苦楝汤（《医学纲目》卷二十二）。,保命集,当归、川芎、白芍、熟地黄、新疆延胡索、苦楝皮,脐腹冷痛 肚腹痛 腰重冷痛
639,风六合汤,《保命集》卷下。,,四物汤4两，羌活1两，防风1两。,,妇人筋骨痛及头痛，脉弦，憎寒如疟。,水煎服。,,保命集,当归、川芎、白芍、熟地黄、羌活、防风,骨疼 头痛 脉弦 憎寒如疟
642,半夏汤,《保命集》卷下。,,半夏曲1两半，桂7钱半（去皮），大黄5钱，桃仁30个（去皮尖，炒）。,,胎衣不下，或子死腹中，或血冲上昏闷，或暴血下，及胞干而不能产者。,先服四物汤2-3服，次服半夏汤3钱，加生姜3片，水1盏，煎去3分。食后如未效，次服下胎丸。,,保命集,半夏、大黄、桃仁,胎衣不下 死胎 血冲上昏闷 暴血下 胞干
