序号,方名,规范名,经典,出处,主治,功用,功用大类,功用小类,处方,炮制,方解,禁忌,化裁,附方,文献,用法用量,名家论述,备注
10000342,养精种玉汤,养精种玉汤,经典,《傅青主女科》（清?傅山）,肾亏血虚，身体瘦弱，久不受孕,补肾养血,补益方,补阴,酒当归  熟地黄  酒白芍  山萸肉,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000370,补肾安胎饮,补肾安胎饮,经典,《中医妇科治疗学》,肾虚胎动不安,固肾安胎,补益方,补阳,人参  白术  盐杜仲  续断  益智仁  阿胶  艾叶  盐菟丝子  盐补骨脂  狗脊,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000375,毓麟珠,毓麟珠,经典,《景岳全书》（明?张景岳）,妇人气血不足，肝肾两虚，月经不调，或后错色淡，或量少腹痛，或淋沥不断，腰膝酸软，小腹冷痛，性欲减退，身体瘦弱，久不受孕等,补益气血，温养肝肾，强固冲任，调经助孕,补益方,补阳,人参  土白术  茯苓  当归  炙甘草  酒白芍  川芎  熟地黄  盐菟丝子  酒杜仲  鹿角霜  花椒,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000382,温胞饮,温胞饮,经典,《傅青主女科》（清?傅山）,妇女宫寒不孕，月经后期等,温补肾阳，养精益气,补益方,补阳,菟丝子  巴戟天  补骨脂  肉桂   附片  人参  白术  芡实  山药,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000384,龟鹿二仙胶,龟鹿二仙胶,经典,《医便》,男、妇真元虚损，久不孕育；精极，梦泄遗精，瘦削少气，目视不明,滋阴填精，益气壮阳,补益方,阴阳双补,鹿角  龟甲  人参  枸杞子,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000397,补肾固冲丸,补肾固冲丸,经典,《中医学新编》,脾肾亏虚之胎动不安，滑胎等,补肾健脾，固冲安胎,固涩方,涩精止遗,盐菟丝子  续断  盐巴戟天  盐杜仲当归  熟地黄  鹿角霜  枸杞子   阿胶  党参  炒白术  大枣  砂仁,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000423,至宝丹,至宝丹,经典,《灵苑方》,卒中急风不语，中恶气绝，中诸物毒，暗风，中热疫毒，阴阳二毒，山岚瘴气毒，蛊毒，水毒等所致昏厥，痰盛气粗舌红苔黄垢腻，脉滑数。以及产后血晕，口鼻血出，恶血攻心烦躁气喘，吐逆，难产闷乱，死胎不下,化痰开窍，清热解毒,开窍方,凉开,水牛角  玳瑁  琥珀  朱砂粉   雄黄粉  牛黄  冰片  麝香  安息香,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000443,橘皮汤,橘皮汤,经典,《千金要方》,治干呕哕，手足厥冷，妊娠恶阻,行滞，止呕,理气方,行气,陈皮  生姜,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000457,天仙藤散,天仙藤散,经典,《校注妇人良方》,子气。妊娠三月之后，两足至腿膝渐肿，行步艰辛喘闷，食欲不振，似水气状，甚或脚指间有黄水出,行气化湿，活血,理气方,行气,天仙藤  香附  陈皮  甘草  乌药  生姜  紫苏叶  木瓜,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000477,温经汤,温经汤,经典,《金匮要略》（汉?张仲景）,冲任虚寒，瘀血阻滞，月经不调，或前或后，或逾期不止，或一月再行，或经停不至，傍晚发热，手心烦热，唇口干燥，或小腹冷痛，久不受孕者,温经散寒，养血祛瘀,理血方,活血祛瘀,制吴茱萸  当归  白芍  川芎  人参   桂枝  阿胶  牡丹皮  生姜  甘草   法半夏  麦冬,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000480,桂枝茯苓丸,桂枝茯苓丸,经典,《金匮要略》（汉?张仲景）,妇人宿有症病，经断未及三月，而得漏下不止，胎动在脐上，月经困难，经停腹胀痛，难产，胎死腹中，胞衣不下产后恶露不尽而腹痛拒按者,活血化瘀，缓消癥块,理血方,活血祛瘀,桂枝  茯苓  牡丹皮  火单 桃仁  白芍,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000487,宫外孕Ⅱ号加党参、黄芪,宫外孕Ⅱ号加党参、黄芪,经典,山西医学院第一附属医院验方,异位妊娠已破损期不稳定型,活血化瘀，佐以益气,理血方,活血祛瘀,醋三棱  醋莪术  丹参  赤芍  党参黄芪  火单 桃仁,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000512,大黄茯苓丸,大黄茯苓丸,经典,《产科发蒙》,妇人有癥痼蓄瘀害妊娠者,活血祛瘀,理血方,活血祛瘀,大黄  茯苓  桂枝  白芍  桃仁   牡丹皮,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000517,当归芍药散,当归芍药散,经典,《金匮要略》（汉?张仲景）,妇人妊娠，肝郁气滞，脾虚湿胜，腹中疠痛,疏肝健脾，活血化瘀，健脾利湿,理血方,活血祛瘀,当归   白芍  茯苓  白术   泽泻   川芎,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000526,脱花煎,脱花煎,经典,《景岳全书》（明?张景岳）,胎漏、胎动不安、堕胎等辨证属瘀血阻滞者,祛瘀下胎,理血方,活血祛瘀,当归  肉桂  川芎  牛膝  车前子  红花,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000537,胶艾汤（又名：芎归胶艾汤）,胶艾汤,经典,《金匮要略》（汉?张仲景）,妇人冲任虚损，血虚有寒证。崩漏下血，月经过多，淋漓不止，产后或流产损伤冲任，下血不绝；或妊娠胞阻，胎漏下血，腹中疼痛。,养血止血，调经安胎。,理血方,止血,川芎（6克）阿胶（6克）甘草（6克）艾叶（9克）当归（9克）芍药（12克）干地黄（15克）,以水五升，清酒三升，合煮，取三升，去滓，内胶令消尽，温服一升，日三服。不瘥更作。,暂无。,斟酌。,暂无。,无。,无。,nan,nan,nan
10000561,羚角钩藤汤,羚角钩藤汤,经典,《通俗伤寒论》,肝风上扰，头晕胀痛，耳鸣心悸，手足躁扰，甚则瘈疭，狂乱痉厥，及肝经热盛，热极动风，孕妇子痫，产后惊风,凉肝熄风，增液舒筋,治风方,平熄内风,羚羊角片  钩藤  桑叶  菊花  地黄 白芍  川贝母  姜竹茹  茯神  甘草,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000593,白术散,白术散,经典,《全生指迷方》,妊娠子肿，面目肿如水状,健脾理气，分消水湿,祛湿方,燥湿和胃,白术  大腹皮  生姜  陈皮  茯苓,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000632,五皮饮,五皮饮,经典,《麻科活人全书》,全身水肿，胸腹胀满，小便不利以及妊娠水肿,行气化湿，利水消肿,祛湿方,利水渗湿,大腹皮  茯苓皮  陈皮  五加皮   姜皮,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000633,加味五淋散,加味五淋散,经典,《医宗金鉴》,子淋。孕妇小便频数窘涩，点滴疼痛,清热利湿，润燥通淋,祛湿方,利水渗湿,焦栀子  茯苓  当归  白芍  黄芩片   甘草  地黄  泽泻  车前子  滑石  木通,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000637,健脾利水汤,健脾利水汤,经典,《胎产心法》,孕妇脾胃气虚，或久泻不止，以致面目虚浮者,健脾利水,祛湿方,利水渗湿,人参  茯苓  麸炒白术  当归  川芎   大腹皮  紫苏  陈皮  炙甘草,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000639,鲤鱼汤,鲤鱼汤,经典,《千金要方》,治妊娠腹大，胎间有水气，通身肿满,利水消肿,祛湿方,利水渗湿,鲤鱼  白术  生姜  白芍  当归   茯苓,nan,nan,nan,nan,nan,nan,nan,nan,nan
10001015,阿胶黄连饮,黄连阿胶汤,nan,《胎产心法》卷上,孕妇痢疾，若安胎则痢愈重，治痢则胎难全，宜服此饮。,nan,nan,nan,阿胶、黄连、芍药、甘草、枳壳（麸炒）。,nan,nan,nan,nan,nan,nan,水煎服。1剂痛痢俱减，去枳壳再服。,nan,阿胶能止脓血之痢，且止腰痛固胎，以之为君；黄连、芍药、甘草皆以为佐；枳壳少加2-3分，以宽其后重。
10001017,阿胶鸡蛋汤,nan,nan,《民间方》,补血，滋阴，安胎。适用于阴血不足所致的胎动不安、烦躁等。,nan,nan,nan,阿胶10克，鸡蛋1个，食盐适量。,阿胶用水1碗烊化，鸡蛋调匀后加入阿胶水中煮成蛋花即成。,nan,nan,nan,nan,nan,每日1～2次，食盐调味服。,nan,nan
10001020,阿胶济阴汤,nan,nan,《胎产秘书》卷上,妊娠伤胎，致令子宫虚滑，经血淋漓者。,nan,nan,nan,阿胶，白术各3克，白芍，当归，川芎各3克，砂仁（带壳）1.5克，条芩，蕲艾各4.5克，香附2.4克，炙甘草1.5克，粘米1捏。,nan,nan,nan,nan,nan,nan,用水500毫升，煎至250毫升，温服。,nan,nan
10001022,阿胶煎丸,nan,nan,《幼幼新书》卷一引《灵苑方》,大补益虚损不足，滋助血海。主治妇人血气久虚，孕胎不成。,nan,nan,nan,伏道艾（取叶去梗，捣熟，筛去粗皮，只取艾茸，称取2两，米醋煮1伏时，候干研成膏），阿胶3两（炙），糯米（炒）1两，大附子（炮，去皮脐）1两，枳壳（去瓤，麸炒）1两。,上为末，入煎膏内杵匀为丸，如梧桐子大。,nan,忌藻菜、羊血、腥臊等物。,nan,nan,nan,nan,nan,nan
10001023,阿胶酒,阿胶汤,nan,方出《证类本草》卷十六引《梅师方》，名见《普济方》卷三四四引《圣惠》,孕妇血痢。,nan,nan,nan,阿胶3两（炙）。,上为末。,nan,nan,nan,nan,nan,阿胶汤（《赤水玄珠》卷八）。,nan,nan
10001028,阿胶散,nan,nan,《太平圣惠方》卷七十五,妊娠胎动，腹中疠痛，不思饮食。,nan,nan,nan,阿胶23克（捣碎，炒令黄燥），白茯苓23克，白术23克，当归甘草7.5克（炙微赤，锉）。,nan,nan,nan,nan,nan,nan,上药捣筛为散。每服9克，以水250毫升，加生姜4克，大枣3枚，煎至150毫升，去滓，不计时候，稍热服。,nan,nan
10001031,阿胶散,nan,nan,《妇人大全良方》卷十二,妊娠不问月数深浅，或因跌仆，或因毒药，胎动不安，腰痛腹满；或胎漏下血，短气乏力者。,nan,nan,nan,熟地黄60克，白芍药，艾叶，当归，甘草，阿胶，黄耆各30克（一方有川芎）。,上药哎咀。,nan,nan,nan,nan,nan,每服15克，用水300毫升，加生姜3片，大枣1个，煎至210毫升，去滓温服，无时。,nan,nan
10001039,阿胶散,nan,nan,《圣惠》卷七十四,妊娠九月，伤寒烦热，或觉胎不稳，腹满悬急，腰疼不可转侧。,nan,nan,nan,阿胶半两（捣碎，炒令黄燥），陈橘皮半两（汤浸去白瓤，焙），半夏赤芍药3分，麦门冬3分（去心）。,上为散。,nan,nan,nan,nan,nan,每服3钱，以水1中盏，加生姜半分，大枣3枚，煎至6分，去滓温服，不拘时候。,nan,nan
10001040,阿胶散,nan,nan,《普济方》卷三四二引《保婴方》,妊娠不问月数浅深，或因倒仆所损，致令胎动不安，或胎气奔上，心腹疼痛，或胎下坠，腰脐疼痛，或时下血。,nan,nan,nan,熟地黄（洗，焙干）半两，白芍药半两，川芎半两，黄耆（去皮）半两，阿胶（锉，炒成珠）半两，香附子（炒）半两，当归（去芦，酒洗，焙干）半两，艾叶（炒）半两，甘草（炙）半两。,nan,nan,nan,nan,nan,nan,上(口父)咀。每服9钱，以水2大盏，加生姜9片，大枣3枚，同煎1大盏，去滓，空心、食前热服。,nan,nan
