主治,功能团
['惊胎'],[]
"['月经不调', '经前腹痛']",[]
"['肌体羸瘦', '血亏', '血虚发热', '腰腿痠软']",[]
"['口干', '烦愦', '耳内虚鸣', '上攻', '阴虚', '气怒肺热']",[]
"['吐血不止', '咯痰带血', '衄血', '伤损经络', '气怒肺热']","[['咯痰带血', '衄血'], ['吐血不止', '衄血'], ['咯痰带血', '气怒肺热']]"
"['肚腹痛', '痢不止', '痢不止', '大便后下血', '腰膝酸痛或冷痛']","[['肚腹痛', '痢不止']]"
"['肚腹痛', '结生瘕聚', '痞积', '肌黄形瘦', '消化不良']",[]
"['月经不调', '盗汗', '骨蒸潮热', '诸虚百损', '喘嗽']",[]
"['肌体羸瘦', '血亏', '盗汗', '虚劳', '阴蚀疮', '久不愈', '下肢溃疡', '肺虚作喘']","[['阴蚀疮', '下肢溃疡']]"
"['带下', '崩中漏下', '肢节无力', '肾虚', '腰膝酸软']","[['带下', '崩中漏下']]"
"['不育', '阴中冷', '精冷']","[['不育', '阴中冷']]"
"['月经不调', '带下', '崩中漏下', '经前腹痛']","[['带下', '崩中漏下'], ['月经不调', '带下']]"
"['月经不通', '遍身壮热', '少腹苦痛']",[]
"['肚腹痛', '月经不调', '胁胀', '血色不正', '瘀血结块']","[['肚腹痛', '月经不调']]"
"['咳嗽', '吐血不止', '咯痰带血', '衄血', '咯血', '血溺']","[['吐血不止', '咯血'], ['咯痰带血', '衄血'], ['吐血不止', '衄血'], ['衄血', '咯血'], ['咯痰带血', '咯血'], ['咯痰带血', '衄血', '咯血'], ['吐血不止', '衄血', '咯血']]"
"['心腹胀', '经行无定期', '产后腹中痛', '量少', '血色不正']",[]
"['月经不调', '血亏', '气滞', '经前腹痛', '胁痛', '胸烦']","[['气滞', '经前腹痛']]"
"['饮食不下', '心神惊悸', '经行无定期', '不睡', '胸膈不舒']",[]
"['月经不调', '肌体羸瘦', '血亏', '结胸']","[['月经不调', '肌体羸瘦']]"
"['肚腹痛', '月经不调', '带下', '阴中冷']","[['带下', '阴中冷'], ['肚腹痛', '月经不调'], ['月经不调', '阴中冷'], ['月经不调', '带下'], ['月经不调', '带下', '阴中冷']]"
"['妊娠', '肚腹痛', '动胎', '流产', '腰痠']","[['肚腹痛', '动胎'], ['妊娠', '肚腹痛'], ['妊娠', '动胎'], ['妊娠', '肚腹痛', '动胎']]"
"['月经不调', '带下', '心神惊悸', '经前腹痛']","[['月经不调', '带下']]"
"['肚腹痛', '月经不调', '寒热', '经前腹痛']","[['肚腹痛', '月经不调'], ['月经不调', '寒热']]"
"['带下', '元气虚惫', '经前腹痛', '经行无定期', '腰痠']",[]
"['咳嗽', '结生瘕聚', '阴虚', '痰盛']",[]
"['腹中疼痛', '结生瘕聚', '胸胁疼', '积聚痞块']",[]
"['少腹苦痛', '诸虚百损', '腰痠', '腿软']",[]
"['动胎', '血亏', '心腹胀', '经行无定期', '腰腿痠疼', '胸满', '腿痠']",[]
"['寒邪', '腹内痛', '腰腿疼痛']",[]
"['肌体羸瘦', '崩中漏下', '血亏', '经行无定期', '腰痠', '腿疼']",[]
"['气滞', '湿热下注']",[]
"['小便涩', '淋沥', '热肿']",[]
"['咳嗽', '口干', '咯痰带血', '痰喘', '虚火', '气怒肺热', '声哑']","[['咯痰带血', '气怒肺热'], ['咳嗽', '口干'], ['气怒肺热', '声哑']]"
"['月经不调', '带下', '肌体羸瘦', '崩中漏下', '腰膝酸痛或冷痛']","[['带下', '崩中漏下'], ['月经不调', '肌体羸瘦'], ['月经不调', '带下']]"
"['产后', '心腹胀', '恶露不下', '腹胁刺痛']",[]
"['肢体怠情', '经前腹痛', '淋沥不断', '白带频下']",[]
"['不育', '不育', '血亏', '经前腹痛']",[]
"['崩中漏下', '吐血不止', '大便后下血', '衄血', '血溺', '气怒肺热']","[['大便后下血', '衄血'], ['吐血不止', '大便后下血'], ['吐血不止', '衄血'], ['吐血不止', '大便后下血', '衄血']]"
"['头痛', '眩晕', '上攻', '胎热', '鼻塞多嚏']",[]
"['咳嗽', '崩中漏下', '吐血不止', '咯痰带血', '咯血', '咯血']","[['吐血不止', '咯血'], ['咯痰带血', '咯血']]"
"['月经不调', '不育', '气逆', '结滞', '血块腹痛']","[['月经不调', '不育']]"
"['产后', '血亏', '乳汁不足', '乳汁不足']",[]
"['饮食不下', '月经不调', '肌体羸瘦', '腰痛', '腿痠', '胸膈不舒']","[['月经不调', '肌体羸瘦'], ['饮食不下', '月经不调'], ['饮食不下', '肌体羸瘦'], ['饮食不下', '月经不调', '肌体羸瘦']]"
"['腰痛', '经前腹痛', '经行无定期', '腿痠']",[]
"['月经不调', '眩晕', '血亏', '耳内虚鸣', '肌黄形瘦']","[['月经不调', '眩晕'], ['眩晕', '耳内虚鸣']]"
"['痰盛', '啼哭不止']",[]
['血热'],[]
"['肚腹痛', '肢节无力', '阴中冷', '经行无定期', '腰酸']",[]
"['血亏', '流产', '胎元不固']",[]
"['月经不通', '不乳出', '气血虚弱']",[]
"['月经不调', '寒邪', '腰腿疼痛', '跌打损伤', '湿痹', '积聚痞块']",[]
"['月经不调', '血亏', '气逆', '结滞']",[]
"['咳嗽', '吐血不止', '咯痰带血', '衄血', '咯血', '气怒肺热', '气盛']","[['吐血不止', '咯血'], ['咯痰带血', '衄血'], ['吐血不止', '衄血'], ['咯痰带血', '气怒肺热'], ['衄血', '咯血'], ['咯痰带血', '咯血'], ['咯痰带血', '衄血', '咯血'], ['吐血不止', '衄血', '咯血']]"
"['吐血不止', '咯痰带血', '衄血', '气怒肺热']","[['咯痰带血', '衄血'], ['吐血不止', '衄血'], ['咯痰带血', '气怒肺热']]"
['败血'],[]
['五劳'],[]
"['产后', '大小便不通']",[]
"['血崩', '疝气', '偏坠', '产后胞衣不下']",[]
"['腹中', '产后滞血']",[]
"['难产', '死胎', '横生逆产', '倒生']","[['难产', '死胎'], ['横生逆产', '倒生']]"
['偏正头风'],[]
['难产'],[]
"['月经不通', '结生瘕聚', '寒疝', '产后气血不足']","[['月经不通', '结生瘕聚']]"
['子宫不收'],[]
"['下元虚冷', '赤白带']",[]
"['赤白带下', '崩中漏下', '小便浊败', '元脏久虚']","[['赤白带下', '小便浊败']]"
"['癫痫', '痰迷', '血邪', '心风']",[]
"['月经不通', '赤白带下', '月经过多', '崩中漏下', '腹内痛', '五劳', '产后滞血', '骨蒸潮热', '肠风', '五淋']","[['月经过多', '肠风']]"
['产前后诸疾'],[]
"['赤白带下', '阴中冷']","[['赤白带下', '阴中冷']]"
"['骨蒸潮热', '脏腑虚损']",[]
"['头目眩晕', '涩', '热毒', '上攻', '羞明', '攀睛胬肉', '肝经不足']","[['涩', '热毒'], ['热毒', '上攻']]"
"['饮食不下', '元气虚惫', '小便利数', '带浊', '心神恍惚', '瘦瘁']",[]
"['饮食不下', '遍身壮热', '赤白带下', '恶露未尽', '盗汗', '阴中冷', '昏迷不省', '小便利数', '面无色', '耳内虚鸣', '经行无定期', '面目青黑', '虚冷', '不和', '四肢逆冷', '腰背痠疼', '梦交', '上热下冷', '阴毒伤寒', '瘦悴', '心气虚乏', '膀胱久冷', '精神不宁', '舌卷', '阴缩难言']","[['小便利数', '耳内虚鸣'], ['赤白带下', '阴中冷']]"
"['惊悸', '卧起不安', '产后类中风痉症', '痰涎上涌']",[]
"['饮食不下', '月经不通', '月经不调', '赤白带下', '口干', '不育', '元气虚惫', '盗汗', '腰痛', '阴中冷', '阴中冷', '小便利数', '面无色', '耳内虚鸣', '夜寐不安', '不和', '行步艰难', '上盛', '崩中五色', '怯弱', '腰重冷痛', '背倦', '瘦悴', '心气虚乏', '惊悸健忘', '精神不宁', '足膝缓弱', '外肾湿痒']","[['饮食不下', '月经不通'], ['赤白带下', '不育'], ['小便利数', '耳内虚鸣'], ['饮食不下', '月经不调'], ['月经不调', '不育'], ['月经不调', '阴中冷'], ['不育', '阴中冷'], ['月经不调', '赤白带下'], ['赤白带下', '阴中冷'], ['赤白带下', '不育', '阴中冷'], ['月经不调', '赤白带下', '阴中冷'], ['月经不调', '赤白带下', '不育'], ['月经不调', '不育', '阴中冷'], ['月经不调', '赤白带下', '不育', '阴中冷']]"
"['结生瘕聚', '面色黄青', '虚劳', '遍身洪肿', '水肿', '食劳']",[]
"['月经不通', '遍身壮热', '头痛', '伤寒', '难产', '身疼', '浮肿', '瘦弱', '子悬']","[['遍身壮热', '头痛'], ['遍身壮热', '伤寒'], ['头痛', '身疼'], ['头痛', '伤寒'], ['遍身壮热', '头痛', '伤寒']]"
"['月经不通', '产后恶露不尽', '血闷冲心', '臂痛', '时上抢心', '气绝欲死']",[]
"['产后', '大便结燥', '有汗', '郁冒']",[]
"['饮食不下', '月经不通', '疼痛', '眩晕', '渐渐羸瘦', '吐血不止', '经前腹痛', '血瘕', '妊娠胞阻']","[['饮食不下', '渐渐羸瘦'], ['饮食不下', '月经不通'], ['月经不通', '疼痛']]"
['淋证'],[]
"['妊娠', '遍身壮热']","[['妊娠', '遍身壮热']]"
"['月经过多', '产后百损', '恶露不下', '憎寒发热']",[]
"['寒热', '心神多躁', '肢体怠情', '自汗', '面色发红', '脉弦', '恶风']",[]
"['产后', '中风']","[['产后', '中风']]"
"['妊娠', '饮食不下', '不和', '脉缓']","[['妊娠', '饮食不下']]"
"['血晕', '昏迷不省', '凑心', '破伤风', '闷绝', '血迷', '恶血冲心']","[['血晕', '昏迷不省']]"
"['妊娠', '饮食不下', '干呕', '痢不止', '脾胃虚弱', '肚腹膨胀']","[['干呕', '痢不止'], ['妊娠', '干呕'], ['饮食不下', '干呕'], ['妊娠', '饮食不下'], ['妊娠', '饮食不下', '干呕']]"
"['妊娠', '脉弦虚', '胎气自痛']",[]
"['饮食不下', '月经不调', '带下', '不育', '不止', '渐渐瘦悴']","[['带下', '不育'], ['饮食不下', '月经不调'], ['月经不调', '不育'], ['月经不调', '带下'], ['月经不调', '带下', '不育']]"
"['遍身壮热', '头目眩晕', '虚劳', '骨蒸潮热', '有汗', '血热', '心神烦热', '痰喘']","[['虚劳', '骨蒸潮热']]"
"['眩晕', '心眩']",[]
"['血亏', '风邪', '偏正头风']",[]
"['妊娠', '饮食不下', '干呕', '月经不调', '咳嗽', '痢不止', '月经过多', '精神不守', '膨胀腹满', '多痰', '气血两亏', '脾胃不健']","[['干呕', '痢不止'], ['妊娠', '干呕'], ['饮食不下', '干呕'], ['饮食不下', '月经不调'], ['妊娠', '月经过多'], ['妊娠', '饮食不下'], ['妊娠', '饮食不下', '干呕']]"
"['月经不调', '痢不止', '元气虚惫', '阴中冷', '肌黄形瘦', '精滑', '下元不固', '腹中疠痛']","[['月经不调', '阴中冷']]"
"['中风', '产后大便不通']",[]
"['产后', '头目眩晕', '不止', '心腹胀', '昏迷不省', '小儿惊痫', '上气', '肌骨蒸热', '咯血', '气膈', '劳嗽']",[]
"['干呕', '肚腹痛', '遍身壮热', '咳嗽', '中风', '血崩', '大小便不通', '痰饮', '胸中胀满', '虚劳', '骨蒸潮热', '半身不遂', '疝气', '淋', '痞积', '小儿惊痫', '水肿', '痔漏', '淋证', '咯血', '痘疹', '血溺', '久痢', '虚汗', '奔豚', '鼓胀', '脾泄', '阴毒伤寒', '两胁气刺', '阴疽', '两足少力', '双目内障', '吞酸逆气', '气厥卒仆']","[['干呕', '肚腹痛'], ['肚腹痛', '遍身壮热'], ['遍身壮热', '咳嗽'], ['淋', '淋证'], ['虚劳', '骨蒸潮热']]"
"['遍身壮热', '咳嗽', '伤寒', '吐血不止', '虚劳', '感冒', '眼昏', '肌黄形瘦', '小儿惊痫', '痈疽发背', '肌骨蒸热', '瘟疫', '山岚瘴气', '斑', '胸腹妨闷', '痘疹', '久痢', '米谷不化', '水泻', '骨弱', '胸膈疼痛', '内障', '面色恍白', '肾劳', '脾劳', '脾疟']","[['遍身壮热', '伤寒'], ['遍身壮热', '咳嗽'], ['咳嗽', '伤寒'], ['遍身壮热', '咳嗽', '伤寒']]"
"['中风', '带下', '血崩', '痈', '虚劳', '虚羸', '惊风', '惊风', '水肿', '肌骨蒸热', '黄疸', '久痢', '久疟', '鼓胀', '脾泄', '两胁气刺', '尸厥']","[['带下', '血崩'], ['久痢', '久疟']]"
"['月经不调', '遍身壮热', '赤白带下', '肢节无力', '阴中冷', '有汗', '肌黄形瘦', '减食', '腹中疠痛']","[['月经不调', '阴中冷'], ['月经不调', '赤白带下'], ['赤白带下', '阴中冷'], ['月经不调', '赤白带下', '阴中冷']]"
"['肚腹痛', '伤寒', '胸中胀满', '攻刺', '四肢逆冷', '食伤']",[]
['烦热'],[]
"['中风', '带下', '血崩', '小儿惊痫', '水肿', '肌骨蒸热', '黄疸', '久痢', '虚肿', '脾泄', '肠滑', '脾疟']","[['带下', '血崩']]"
['大小便不通'],[]
"['饮食不下', '月经不通', '月经不调', '赤白带下', '中风', '口干', '不育', '眩晕', '肌体羸瘦', '血崩', '腹中疼痛', '言语謇涩', '肢节无力', '肢体怠情', '四肢急掣', '阴中冷', '五劳', '潮热', '风湿脚气', '寒湿', '感冒', '口苦', '半身不遂', '有汗', '惊悸', '脚手痹顽', '虚冷', '肌黄形瘦', '腰腿疼痛', '眼目昏花', '眼目昏花', '左瘫右痪', '诸虚百损', '耳聋', '痔漏', '两胁膈胀', '经水不匀', '痰气', '浑身疮癣', '膀胱疝气', '淋痛', '口眼歪邪']","[['月经不调', '眩晕'], ['风湿脚气', '寒湿'], ['饮食不下', '月经不通'], ['五劳', '寒湿'], ['饮食不下', '肢节无力'], ['口干', '口苦'], ['赤白带下', '不育'], ['中风', '四肢急掣'], ['不育', '五劳'], ['月经不调', '肌体羸瘦'], ['饮食不下', '月经不调'], ['月经不调', '不育'], ['月经不调', '阴中冷'], ['半身不遂', '左瘫右痪'], ['不育', '阴中冷'], ['眩晕', '眼目昏花'], ['中风', '言语謇涩'], ['赤白带下', '血崩'], ['饮食不下', '肌体羸瘦'], ['月经不调', '赤白带下'], ['言语謇涩', '半身不遂'], ['四肢急掣', '半身不遂'], ['五劳', '诸虚百损'], ['半身不遂', '脚手痹顽'], ['脚手痹顽', '左瘫右痪'], ['月经不通', '肌体羸瘦'], ['言语謇涩', '四肢急掣'], ['赤白带下', '阴中冷'], ['半身不遂', '脚手痹顽', '左瘫右痪'], ['中风', '言语謇涩', '四肢急掣'], ['赤白带下', '不育', '阴中冷'], ['言语謇涩', '四肢急掣', '半身不遂'], ['饮食不下', '月经不调', '肌体羸瘦'], ['饮食不下', '月经不通', '肌体羸瘦'], ['月经不调', '赤白带下', '阴中冷'], ['月经不调', '赤白带下', '不育'], ['月经不调', '不育', '阴中冷'], ['月经不调', '赤白带下', '不育', '阴中冷']]"
['不育'],[]
"['眩晕', '肌体羸瘦', '头目眩晕', '肢节无力', '气血', '脚腿软弱']","[['眩晕', '头目眩晕']]"
"['咳嗽', '不育', '渐渐羸瘦', '五劳', '夜寐不安', '眼目昏花', '咯痰带血', '诸虚百损', '不能行步', '须发早白']","[['不育', '五劳'], ['五劳', '诸虚百损']]"
['带下'],[]
['产前后诸疾'],[]
"['身疼', '四肢急掣', '背项强直', '产后滞血']","[['身疼', '四肢急掣']]"
"['月经不调', '赤白带下', '不育', '眩晕', '恶心', '阴中冷', '攻刺']","[['月经不调', '眩晕'], ['赤白带下', '不育'], ['月经不调', '不育'], ['月经不调', '阴中冷'], ['不育', '阴中冷'], ['月经不调', '赤白带下'], ['赤白带下', '阴中冷'], ['赤白带下', '不育', '阴中冷'], ['月经不调', '赤白带下', '阴中冷'], ['月经不调', '赤白带下', '不育'], ['月经不调', '不育', '阴中冷'], ['月经不调', '赤白带下', '不育', '阴中冷']]"
"['赤白带下', '经行无定期']",[]
['胎漏'],[]
"['月经不调', '干血']",[]
['血崩'],[]
"['月经过多', '淋漓不净']",[]
['崩中漏下'],[]
"['涩', '妊娠小便不利']",[]
['赤白带下'],[]
"['阴中冷', '举体沉重', '急痛', '身体俱黄']",[]
"['产后', '虚劳']",[]
"['血风劳', '涩', '热毒', '上攻', '视物不明', '肝经不足']","[['血风劳', '上攻'], ['涩', '热毒'], ['热毒', '上攻']]"
"['饮食不下', '肢体怠情', '盗汗', '潮热', '面目青黑', '血海干涸', '干血', '内火暗动', '夜热', '肌肤甲错', '肝血既燥', '燥干阴水']",[]
"['饮食不下', '肢体怠情', '盗汗', '潮热', '面目青黑', '血海干涸', '干血', '内火暗动', '夜热', '肌肤甲错', '肝血既燥', '燥干阴水']",[]
"['腰痛', '寒湿', '腰胯沉重']","[['腰痛', '寒湿']]"
"['腰痛', '寒湿', '腰胯沉重']","[['腰痛', '寒湿']]"
"['饮食不下', '元气虚惫', '多倦', '精神不守', '心腹胀满', '夜寐不安', '四肢痠痛', '悸动', '水道涩痛', '脚膝痿缓']","[['水道涩痛', '脚膝痿缓']]"
"['背项强直', '身如角弓反张', '手足挛急']",[]
"['饮食不下', '元气虚惫', '多倦', '精神不守', '膨胀腹满', '心腹胀满', '夜寐不安', '悸动', '周身酸疼', '水道涩痛', '脚膝痿缓']","[['水道涩痛', '脚膝痿缓']]"
['亡血过多'],[]
"['遍身壮热', '寒热', '血亏', '大小便不通', '乳房发胀', '太阳穴痛', '脐下急满']","[['乳房发胀', '脐下急满']]"
"['月经不通', '口干', '口干', '双目流血']",[]
"['月经不通', '疼痛', '赤眼肿痛', '血壅', '眼痛']","[['月经不通', '疼痛']]"
"['月经不通', '口干', '口干', '双目流血']",[]
['耳中作痛'],[]
"['遍身壮热', '寒热', '血亏', '大小便不通', '横逆', '乳房发胀', '太阳穴痛', '脐下急满']","[['乳房发胀', '脐下急满']]"
"['元气虚惫', '耳中作痛']",[]
"['月经不通', '疼痛', '赤眼肿痛', '弦而滑', '肝脉大']","[['月经不通', '疼痛']]"
['不育'],[]
"['不育', '精冷']",[]
"['月经过多', '肝气郁结']",[]
['精冷'],[]
['痰饮'],[]
['不育'],[]
"['动胎', '口干', '咽喉肿痛', '舌燥', '无津以润', '血流如经水']","[['无津以润', '血流如经水'], ['舌燥', '无津以润']]"
"['产后气短', '气血将脱']",[]
['产后'],[]
"['产后百损', '腹内痛']",[]
"['产后', '干呕', '血晕', '恶心', '冷气', '眼昏', '气息欲绝']","[['产后', '血晕'], ['干呕', '恶心'], ['产后', '干呕']]"
"['动胎', '两胁闷痛', '忧恚']",[]
"['肚腹痛', '多痰', '妊娠中恶', '吐涎']",[]
"['肚腹痛', '动胎', '口干', '烦躁', '腰腿痠疼', '发狂']","[['肚腹痛', '动胎'], ['口干', '烦躁']]"
['疼痛'],[]
"['产后', '血崩', '昏迷不省']",[]
['疼痛'],[]
['肚腹痛'],[]
"['动胎', '两胁闷痛', '忧恚']",[]
"['动胎', '口干', '咽喉肿痛', '舌燥', '无津以润', '血流如经水']","[['无津以润', '血流如经水'], ['舌燥', '无津以润']]"
['多怒'],[]
"['肚腹痛', '动胎']","[['肚腹痛', '动胎']]"
['鬼胎'],[]
['难产'],[]
"['难产', '气血']",[]
"['血崩', '流产', '癫痫', '脱精']",[]
['死胎'],[]
"['气血', '昏迷不省', '言语不得']",[]
"['产后', '遍身壮热', '血亏', '恶露不下', '不安', '凑心', '狂言']","[['产后', '遍身壮热'], ['凑心', '狂言']]"
"['产后', '干呕', '血晕', '恶心', '冷气', '眼昏', '气息欲绝']","[['产后', '血晕'], ['干呕', '恶心'], ['产后', '干呕']]"
"['难产', '血亏', '胎中无血']",[]
"['产后', '遍身壮热', '血亏', '恶露不下', '不定', '凑心', '狂言']","[['产后', '遍身壮热'], ['凑心', '狂言']]"
"['产后', '作痛', '亡血过多']",[]
"['不乳出', '乳肿痛', '肝气郁结']",[]
"['寒热', '咳嗽', '喘促', '四肢肿', '吞酸', '两胁膈胀', '咽膈不利', '肝肾两虚']","[['寒热', '咳嗽'], ['咳嗽', '喘促'], ['喘促', '四肢肿']]"
"['难产', '气滞不行']",[]
"['产后', '遍身壮热', '恶心', '阴寒', '气血', '作渴', '体颤']","[['产后', '遍身壮热'], ['遍身壮热', '阴寒']]"
"['产后', '干呕', '恶心']","[['干呕', '恶心'], ['产后', '干呕']]"
"['昏迷不省', '流产']",[]
"['产后', '恶露不下', '胎衣不下', '昏迷不省', '烦躁']",[]
['肚腹痛'],[]
"['妊娠', '肚腹痛', '动胎', '口干', '烦躁', '腰腿痠疼', '发狂']","[['肚腹痛', '动胎'], ['妊娠', '肚腹痛'], ['妊娠', '口干'], ['妊娠', '动胎'], ['口干', '烦躁'], ['妊娠', '肚腹痛', '动胎']]"
"['肚腹痛', '肚腹痛', '月经不通', '堕胎']",[]
"['产后百损', '腹内痛']",[]
['胎衣不下'],[]
"['肚腹痛', '堕胎', '畏寒']",[]
['产后久痢'],[]
['产后气血不足'],[]
"['产后', '亡血过多', '两乳细小', '胃血干燥']","[['两乳细小', '胃血干燥']]"
"['痈', '乳痈', '疳']","[['痈', '疳'], ['痈', '乳痈']]"
"['咳嗽', '口干', '肌骨蒸热', '肌骨蒸热', '舌燥']","[['咳嗽', '口干']]"
"['白带腥臭', '带下黄色', '任脉湿热']","[['带下黄色', '任脉湿热'], ['白带腥臭', '任脉湿热'], ['白带腥臭', '带下黄色'], ['白带腥臭', '带下黄色', '任脉湿热']]"
