症状,亲友团
带下,"['月经不调', '崩中漏下', '饮食不下', '眩晕', '肚腹痛', '不育', '产后', '血崩', '月经过多', '头目眩晕', '阴中冷', '干呕', '痢不止', '咳嗽', '口干']"
不育,"['月经不调', '赤白带下', '饮食不下', '阴中冷', '产后', '带下', '月经不通', '干呕', '五劳', '元气虚惫', '渐渐羸瘦', '肚腹痛', '涩', '咳嗽', '肌体羸瘦']"
眩晕,"['饮食不下', '干呕', '产后', '妊娠', '头目眩晕', '月经不调', '耳内虚鸣', '眼目昏花', '带下', '口干', '头痛', '肚腹痛', '遍身壮热', '心神多躁', '恶心']"
肌体羸瘦,"['饮食不下', '月经不调', '产后', '寒热', '口干', '月经不通', '干呕', '元气虚惫', '面色黄青', '头目眩晕', '多倦', '盗汗', '疼痛', '心神多躁', '多睡']"
头目眩晕,"['饮食不下', '产后', '干呕', '头痛', '眩晕', '口干', '寒热', '血风劳', '月经不调', '身疼', '盗汗', '咳嗽', '遍身壮热', '妊娠', '耳内虚鸣']"
难产,"['死胎', '产后', '胎衣不下', '妊娠', '涩', '血晕', '干呕', '死胎不出', '月经不调', '赤白带下', '饮食不下', '横生逆产', '月经不通', '寒热', '动胎']"
不止,"['产后', '妊娠', '肚腹痛', '饮食不下', '咳嗽', '疼痛', '伤寒', '动胎', '口干', '干呕', '痢不止', '月经过多', '遍身壮热', '赤白带下', '头痛']"
血风劳,"['饮食不下', '身疼', '头目眩晕', '寒热', '月经不调', '干呕', '四肢急掣', '头痛', '上攻', '疼痛', '心神多躁', '四肢烦疼', '中风', '月经不通', '口干']"
血崩,"['产后', '赤白带下', '月经过多', '带下', '月经不调', '饮食不下', '眩晕', '干呕', '寒热', '吐血不止', '肚腹痛', '血晕', '咳嗽', '口干', '中风']"
涩,"['产后', '热毒', '疼痛', '饮食不下', '肚腹痛', '口干', '难产', '血风劳', '干呕', '不育', '头目眩晕', '遍身壮热', '上攻', '中风', '月经不通']"
腹中疼痛,"['饮食不下', '产后', '月经不通', '月经不调', '干呕', '赤白带下', '妊娠', '月经过多', '结生瘕聚', '肢节无力', '眩晕', '痢不止', '肢体怠情', '气滞', '动胎']"
心神多躁,"['饮食不下', '口干', '妊娠', '产后', '干呕', '眩晕', '血风劳', '中风', '头目眩晕', '肚腹痛', '肌体羸瘦', '头痛', '遍身壮热', '寒热', '月经不调']"
元气虚惫,"['饮食不下', '产后', '肌体羸瘦', '月经不调', '赤白带下', '咳嗽', '寒热', '痢不止', '口干', '头目眩晕', '干呕', '不育', '带下', '盗汗', '月经不通']"
身疼,"['产后', '头痛', '血风劳', '饮食不下', '寒热', '头目眩晕', '遍身壮热', '伤寒', '干呕', '四肢急掣', '脚手痹顽', '月经不调', '疟', '妊娠', '眩晕']"
渐渐羸瘦,"['饮食不下', '月经不通', '产后', '干呕', '月经不调', '寒热', '结生瘕聚', '面色黄青', '四肢烦疼', '肢体怠情', '不育', '血风劳', '赤白带下', '口干', '带下']"
崩中漏下,"['带下', '月经不调', '饮食不下', '产后', '赤白带下', '眩晕', '月经过多', '肚腹痛', '面色黄青', '渐渐羸瘦', '肢体怠情', '小便浊败', '痢不止', '经行无定期', '月经不通']"
结生瘕聚,"['饮食不下', '干呕', '月经不调', '产后', '月经不通', '赤白带下', '痢不止', '疼痛', '渐渐羸瘦', '妇人血气', '寒热', '心腹胀', '咳嗽', '肚腹痛', '腹中疼痛']"
言语謇涩,"['中风', '产后', '四肢急掣', '半身不遂', '头目眩晕', '头痛', '妊娠', '恍惚', '口干', '身疼', '干呕', '遍身壮热', '痰饮', '心神多躁', '手足不遂']"
喘促,"['咳嗽', '产后', '饮食不下', '妊娠', '干呕', '口干', '大小便不通', '遍身壮热', '伤寒', '四肢肿', '头目眩晕', '胸中胀满', '痰饮', '寒邪', '寒热']"
血亏,"['产后', '遍身壮热', '月经不调', '饮食不下', '盗汗', '妊娠', '眩晕', '月经不通', '寒热', '口干', '气滞', '头目眩晕', '崩中漏下', '心神惊悸', '肚腹痛']"
产后百损,"['饮食不下', '头痛', '寒热', '口干', '言语謇涩', '多倦', '肚腹痛', '盗汗', '恍惚', '产后', '疼痛', '肌体羸瘦', '肢节无力', '惊悸', '恶露未尽']"
大小便不通,"['产后', '妊娠', '干呕', '口干', '寒热', '喘促', '痢不止', '遍身壮热', '伤寒', '咳嗽', '饮食不下', '头痛', '心腹胀', '阴寒', '肚腹痛']"
烦愦,"['产后', '妊娠', '饮食不下', '干呕', '肚腹痛', '头痛', '不安', '寒热', '伤寒', '喘促', '妊娠呕恶冲逆', '口干', '胸膈', '月经不通', '遍身壮热']"
心腹疼痛,"['饮食不下', '产后', '干呕', '妊娠', '月经不调', '动胎', '月经不通', '月经过多', '痢不止', '结生瘕聚', '恶露不下', '肌体羸瘦', '攻刺', '口干', '眩晕']"
肢节无力,"['饮食不下', '月经不调', '产后', '干呕', '眩晕', '面色黄青', '寒热', '赤白带下', '肌体羸瘦', '头目眩晕', '口干', '腹中疼痛', '眼目昏花', '血风劳', '身疼']"
恶露未尽,"['产后', '肚腹痛', '饮食不下', '血晕', '遍身壮热', '干呕', '月经不调', '寒热', '动胎', '痢不止', '眩晕', '昏迷不省', '喘促', '产后百损', '疟']"
心腹胀,"['饮食不下', '产后', '干呕', '结生瘕聚', '痢不止', '妊娠', '月经不通', '遍身壮热', '大小便不通', '食积', '月经不调', '寒热', '头痛', '伤寒', '多倦']"
多倦,"['饮食不下', '产后', '寒热', '干呕', '肌体羸瘦', '少力', '多睡', '口干', '月经不调', '盗汗', '头目眩晕', '月经不通', '遍身壮热', '面色黄青', '眩晕']"
痰饮,"['饮食不下', '干呕', '咳嗽', '妊娠', '头目眩晕', '壅盛', '头痛', '产后', '眩晕', '恶心', '胸中胀满', '中风', '寒热', '言语謇涩', '半身不遂']"
疟,"['产后', '寒热', '痢不止', '干呕', '头痛', '妊娠', '伤寒', '咳嗽', '饮食不下', '肚腹痛', '遍身壮热', '赤白带下', '身疼', '中风', '霍乱']"
寒邪,"['产后', '咳嗽', '妊娠', '头痛', '干呕', '饮食不下', '遍身壮热', '头目眩晕', '肚腹痛', '寒热', '月经不调', '喘促', '阴寒', '痰饮', '赤白带下']"
血晕,"['产后', '昏迷不省', '干呕', '胎衣不下', '月经不调', '血崩', '难产', '恶露未尽', '死胎', '寒热', '恶露不下', '赤白带下', '口急', '肚腹痛', '神昏']"
肢体怠情,"['饮食不下', '月经不调', '头目眩晕', '产后', '干呕', '遍身壮热', '寒热', '赤白带下', '口干', '渐渐羸瘦', '咳嗽', '盗汗', '面色黄青', '月经不通', '眩晕']"
面色黄青,"['饮食不下', '月经不调', '肌体羸瘦', '赤白带下', '月经不通', '干呕', '渐渐羸瘦', '口干', '肢节无力', '寒热', '头目眩晕', '肢体怠情', '崩中漏下', '肚腹痛', '产后']"
恶心,"['干呕', '饮食不下', '头痛', '眩晕', '产后', '妊娠', '头目眩晕', '寒热', '月经不调', '痰饮', '肚腹痛', '咳嗽', '胸膈', '痢不止', '吞酸']"
盗汗,"['饮食不下', '咳嗽', '头目眩晕', '口干', '产后', '月经不调', '遍身壮热', '寒热', '自汗', '肌体羸瘦', '眩晕', '虚劳', '骨蒸潮热', '血亏', '多倦']"
热毒,"['产后', '涩', '头痛', '伤寒', '头目眩晕', '上攻', '血风劳', '遍身壮热', '疮疥', '中风', '眩晕', '风湿脚气', '疖', '生疮', '肿痛']"
腰痛,"['产后', '妊娠', '饮食不下', '肚腹痛', '带下', '干呕', '动胎', '寒湿', '头痛', '月经不通', '月经不调', '寒热', '咳嗽', '中风', '四肢急掣']"
阴寒,"['遍身壮热', '头痛', '产后', '妊娠', '伤寒', '干呕', '口干', '眩晕', '身疼', '饮食不下', '头目眩晕', '大小便不通', '肚腹痛', '疟', '寒邪']"
气血,"['产后', '饮食不下', '寒热', '月经不调', '不育', '头目眩晕', '肢体怠情', '冲任不固', '遍身壮热', '月经过多', '头痛', '肢节无力', '盗汗', '妊娠', '肚腹痛']"
四肢急掣,"['中风', '产后', '言语謇涩', '血风劳', '身疼', '饮食不下', '头目眩晕', '头痛', '半身不遂', '寒热', '背项强直', '月经不调', '伤寒', '干呕', '遍身壮热']"
口急,"['产后', '中风', '妊娠', '身如角弓反张', '昏迷不省', '背项强直', '言语不得', '眩晕', '血晕', '遍身壮热', '四肢拘挛', '牙关紧闭', '身体拘急', '子痫', '干呕']"
妊娠呕恶冲逆,"['干呕', '饮食不下', '眩晕', '多睡', '头痛', '不下食', '妊娠', '烦愦', '心神多躁', '心中愦闷', '头目眩晕', '痰饮', '动胎', '肢节无力', '恶心']"
气短促,"['饮食不下', '产后', '口干', '干呕', '肚腹痛', '咳嗽', '眩晕', '元气虚惫', '渐渐羸瘦', '喘促', '多倦', '月经不调', '遍身壮热', '妊娠', '肢体怠情']"
四肢烦疼,"['饮食不下', '血风劳', '渐渐羸瘦', '头痛', '产后', '寒热', '口干', '头目眩晕', '妊娠', '遍身壮热', '干呕', '月经不调', '伤寒', '肌体羸瘦', '月经不通']"
阴中冷,"['赤白带下', '月经不调', '不育', '饮食不下', '带下', '小便浊败', '肢体怠情', '元气虚惫', '肢节无力', '产后', '月经不通', '五劳', '肚腹痛', '头目眩晕', '小便利数']"
恶露不下,"['产后', '遍身壮热', '血晕', '心腹疼痛', '疼痛', '腹中疼痛', '月经不通', '心腹胀', '眩晕', '烦愦', '干呕', '肚腹痛', '凑心', '月经不调', '阴寒']"
腹中,"['产后', '饮食不下', '妊娠', '干呕', '月经不通', '寒热', '动胎', '头痛', '痢不止', '元气虚惫', '恶露未尽', '口干', '烦愦', '遍身壮热', '中风']"
胸中胀满,"['饮食不下', '干呕', '产后', '痰饮', '咳嗽', '伤寒', '头目眩晕', '妊娠', '遍身壮热', '寒热', '喘促', '肚腹痛', '口干', '痢不止', '头痛']"
胎衣不下,"['产后', '难产', '死胎', '血晕', '堕胎', '干呕', '月经不调', '中风', '月经不通', '寒热', '伤寒', '咳嗽', '口干', '痢不止', '血崩']"
腹内痛,"['产后', '月经不调', '饮食不下', '月经不通', '赤白带下', '月经过多', '妊娠', '寒热', '干呕', '肚腹痛', '口干', '元气虚惫', '渐渐羸瘦', '结生瘕聚', '面色黄青']"
吐血不止,"['咳嗽', '衄血', '产后', '血崩', '大便后下血', '赤白带下', '月经过多', '咯血', '遍身壮热', '盗汗', '咳血', '饮食不下', '痢不止', '月经不调', '咯痰带血']"
妇人血气,"['结生瘕聚', '饮食不下', '干呕', '疼痛', '腹中疼痛', '冷气', '吞酸', '产后', '血气冲心痛', '痢不止', '疝气', '心腹疼痛', '霍乱', '心腹多痛', '胸膈']"
霍乱,"['吐泻', '产后', '干呕', '饮食不下', '痢不止', '肚腹痛', '小腿转筋', '妊娠', '伤寒', '中风', '疟', '手足厥寒', '头痛', '咳嗽', '胸膈']"
痈,"['疮疥', '产后', '痈疽发背', '疖', '疼痛', '乳痈', '瘰疬', '月经不调', '赤白带下', '疳', '遍身壮热', '咳嗽', '中风', '伤寒', '干呕']"
五劳,"['赤白带下', '饮食不下', '咳嗽', '产后', '月经不调', '干呕', '不育', '寒湿', '诸虚百损', '肌体羸瘦', '元气虚惫', '疝气', '寒热', '口干', '痢不止']"
腹刺痛,"['饮食不下', '干呕', '产后', '动胎', '妊娠', '月经不调', '月经不通', '寒热', '恶心', '霍乱', '胸膈', '月经过多', '崩中漏下', '多倦', '冷气']"
心神惊悸,"['饮食不下', '产后', '眩晕', '妊娠', '头目眩晕', '盗汗', '恍惚', '寒热', '月经不调', '口干', '血亏', '肌体羸瘦', '不安', '不睡', '气短']"
昏迷不省,"['产后', '血晕', '中风', '口急', '饮食不下', '牙关紧闭', '血崩', '吐泻', '神昏', '头痛', '手足挛急', '遍身壮热', '伤寒', '眩晕', '言语謇涩']"
虚劳,"['盗汗', '产后', '饮食不下', '遍身壮热', '咳嗽', '月经不调', '寒热', '月经不通', '肢体怠情', '骨蒸潮热', '干呕', '口干', '元气虚惫', '肚腹痛', '头目眩晕']"
外感,"['产后', '妊娠', '饮食不下', '干呕', '阴寒', '遍身壮热', '肚腹痛', '月经不调', '痢不止', '疼痛', '不育', '寒热', '头痛', '动胎', '咳嗽']"
大便结燥,"['产后', '口干', '妊娠', '遍身壮热', '伤寒', '涩', '热毒', '小便短赤', '头痛', '饮食不下', '干呕', '肚腹痛', '赤白带下', '大小便不通', '疮疥']"
死胎,"['难产', '胎衣不下', '产后', '血晕', '妊娠', '干呕', '伤寒', '寒热', '中风', '动胎', '横生逆产', '肚腹痛', '赤白带下', '咳嗽', '月经不通']"
气滞,"['饮食不下', '肚腹痛', '干呕', '月经不调', '产后', '月经不通', '血亏', '经前腹痛', '腹中疼痛', '涩', '遍身壮热', '带下', '心腹胀', '腰痛', '血结']"
背项强直,"['产后', '头痛', '遍身壮热', '中风', '伤寒', '头目眩晕', '妊娠', '口急', '饮食不下', '干呕', '眩晕', '身疼', '四肢急掣', '血风劳', '阴寒']"
自汗,"['产后', '遍身壮热', '盗汗', '饮食不下', '口干', '眩晕', '月经不调', '肌体羸瘦', '寒热', '头痛', '咳嗽', '头目眩晕', '中风', '元气虚惫', '血亏']"
不安,"['妊娠', '烦愦', '产后', '干呕', '心神惊悸', '饮食不下', '恍惚', '痢不止', '惊悸', '气短促', '肚腹痛', '遍身壮热', '寒热', '咳嗽', '口干']"
小便利数,"['饮食不下', '耳内虚鸣', '妊娠', '赤白带下', '带下', '头目眩晕', '元气虚惫', '干呕', '眩晕', '肚腹痛', '肢体怠情', '淋沥不断', '口干', '痢不止', '盗汗']"
胎漏,"['月经过多', '妊娠', '肚腹痛', '动胎', '饮食不下', '血崩', '产后', '干呕', '月经不通', '寒热', '咳嗽', '难产', '腹中疼痛', '流产', '头痛']"
冲任不固,"['产后', '饮食不下', '月经不调', '渐渐羸瘦', '崩中漏下', '咳嗽', '月经过多', '不育', '肢体怠情', '气血', '寒热', '元气虚惫', '盗汗', '淋沥不断', '肌体羸瘦']"
疮疥,"['痈', '痈疽发背', '产后', '头痛', '痢不止', '赤白带下', '瘰疬', '干呕', '热毒', '疖', '伤寒', '乳痈', '疳', '疟', '饮食不下']"
产后滞血,"['寒热', '肚腹痛', '月经不通', '疼痛', '身疼', '干呕', '血晕', '饮食不下', '遍身壮热', '口干', '喘促', '恶露未尽', '腹中', '不止', '涩']"
作痛,"['产后', '饮食不下', '月经不调', '遍身壮热', '口干', '寒热', '干呕', '头目眩晕', '痈', '肚腹痛', '月经不通', '眩晕', '腹中', '潮热', '小便短赤']"
脐腹冷痛,"['饮食不下', '月经不调', '产后', '妊娠', '赤白带下', '月经不通', '月经过多', '口干', '带下', '元气虚惫', '遍身壮热', '肌体羸瘦', '崩中漏下', '肚腹痛', '寒热']"
流产,"['肚腹痛', '妊娠', '月经过多', '产后', '血崩', '饮食不下', '月经不调', '动胎', '漏血不止', '气血虚弱', '腰痠', '胎元不固', '遍身壮热', '口干', '不育']"
精神不守,"['饮食不下', '产后', '妊娠', '口干', '干呕', '遍身壮热', '眩晕', '肌体羸瘦', '月经不调', '肢节无力', '多倦', '盗汗', '气短', '舌质淡', '不育']"
无力,"['饮食不下', '肌体羸瘦', '产后', '月经不调', '面色黄青', '多倦', '干呕', '寒热', '疼痛', '妊娠', '肚腹痛', '元气虚惫', '痰饮', '月经不通', '赤白带下']"
堕胎,"['胎衣不下', '血结', '产后', '妊娠', '肚腹痛', '不育', '肌体羸瘦', '不止', '饮食不下', '月经不调', '寒热', '阴中冷', '干呕', '月经过多', '流产']"
壮热,"['头痛', '伤寒', '妊娠', '产后', '饮食不下', '干呕', '咳嗽', '口干', '畏寒', '心神多躁', '身疼', '阴寒', '胸中胀满', '感冒', '小便短赤']"
烦热,"['妊娠', '口干', '头痛', '伤寒', '产后', '饮食不下', '干呕', '咳嗽', '动胎', '眩晕', '不止', '血风劳', '背项强直', '月经不通', '头目眩晕']"
产后气虚,"['饮食不下', '产后', '言语謇涩', '头痛', '渐渐羸瘦', '四肢烦疼', '伤损经络', '肌体羸瘦', '头面肿满', '干呕', '血崩', '心神惊悸', '口干', '眩晕', '头目眩晕']"
心腹多痛,"['产后', '饮食不下', '妊娠', '干呕', '动胎', '肌体羸瘦', '结生瘕聚', '喘促', '霍乱', '妇人血气', '肚腹痛', '口干', '痢不止', '月经不通', '咳嗽']"
面无色,"['饮食不下', '月经不调', '干呕', '肌体羸瘦', '产后', '渐渐羸瘦', '口干', '不育', '肚腹痛', '带下', '血风劳', '多倦', '阴中冷', '头目眩晕', '血崩']"
胸膈,"['饮食不下', '干呕', '恶心', '产后', '咳嗽', '头目眩晕', '霍乱', '吞酸', '头痛', '痰饮', '胀满', '妊娠', '烦愦', '寒热', '喘促']"
烦躁,"['口干', '妊娠', '产后', '遍身壮热', '伤寒', '饮食不下', '头痛', '干呕', '寒热', '头目眩晕', '小便短赤', '肚腹痛', '动胎', '咳嗽', '血风劳']"
多睡,"['饮食不下', '干呕', '眩晕', '头目眩晕', '多倦', '口干', '肌体羸瘦', '四肢痠痛', '妊娠呕恶冲逆', '月经不调', '肢节无力', '妊娠', '痢不止', '心中愦闷', '遍身壮热']"
气逆,"['干呕', '饮食不下', '妊娠', '产后', '咳嗽', '喘促', '月经不调', '头目眩晕', '烦愦', '寒邪', '疼痛', '元气虚惫', '心腹胀', '肢体怠情', '气短']"
虚羸,"['产后', '饮食不下', '寒热', '产后气短', '肢节无力', '月经不调', '肚腹痛', '动胎', '咳嗽', '月经过多', '盗汗', '伤损经络', '肌体羸瘦', '血崩', '肢体怠情']"
潮热,"['口干', '饮食不下', '月经不调', '产后', '咳嗽', '盗汗', '遍身壮热', '肢体怠情', '头目眩晕', '面色发红', '眩晕', '肌体羸瘦', '阴虚', '月经不通', '血亏']"
小便浊败,"['赤白带下', '阴中冷', '月经不调', '带下', '崩中漏下', '咳嗽', '不育', '元气虚惫', '饮食不下', '五劳', '痞积', '痢不止', '血崩', '小便利数', '夜寐不安']"
血气冲心痛,"['产后', '饮食不下', '中风', '干呕', '肚腹痛', '痢不止', '赤白带下', '月经不通', '头痛', '咳嗽', '结生瘕聚', '妇人血气', '冷气', '疝气', '吞酸']"
风湿脚气,"['赤白带下', '干呕', '寒湿', '饮食不下', '月经不调', '咳嗽', '疝气', '热毒', '身疼', '脚手痹顽', '产后', '五劳', '偏正头风', '左瘫右痪', '诸风瘫痪']"
寒湿,"['五劳', '干呕', '疼痛', '饮食不下', '月经不调', '风湿脚气', '产后', '赤白带下', '腰痛', '半身不遂', '左瘫右痪', '痢不止', '身疼', '伤寒', '疝气']"
冷气,"['饮食不下', '干呕', '产后', '肚腹痛', '疼痛', '痢不止', '结生瘕聚', '妇人血气', '霍乱', '攻刺', '血气冲心痛', '血风劳', '腹刺痛', '小便利数', '吐泻']"
血块,"['产后', '月经不调', '饮食不下', '肚腹痛', '月经不通', '疼痛', '结生瘕聚', '产后百损', '寒热', '痢不止', '面无色', '血刺', '干呕', '痞积', '瘦弱']"
吐泻,"['霍乱', '产后', '干呕', '饮食不下', '肚腹痛', '中风', '痢不止', '手足厥寒', '恶心', '妊娠', '头痛', '伤寒', '头目眩晕', '昏迷不省', '咳嗽']"
骨蒸潮热,"['盗汗', '月经不调', '饮食不下', '遍身壮热', '咳嗽', '月经不通', '口干', '头目眩晕', '虚劳', '肌体羸瘦', '心热', '肢体怠情', '痰喘', '赤白带下', '渐渐羸瘦']"
耳内虚鸣,"['眩晕', '头目眩晕', '口干', '小便利数', '饮食不下', '头痛', '咳嗽', '带下', '眼昏', '盗汗', '月经不调', '赤白带下', '元气虚惫', '上攻', '疼痛']"
漏血不止,"['饮食不下', '血崩', '妊娠', '赤白带下', '动胎', '肚腹痛', '痢不止', '产后', '月经过多', '流产', '月经不调', '不止', '肢节无力', '寒热', '带下']"
感冒,"['头痛', '遍身壮热', '产后', '咳嗽', '伤寒', '中风', '干呕', '头目眩晕', '身疼', '阴寒', '霍乱', '肚腹痛', '吐泻', '小儿惊痫', '妊娠']"
上攻,"['血风劳', '头目眩晕', '热毒', '饮食不下', '眩晕', '涩', '干呕', '言语謇涩', '耳内虚鸣', '头痛', '身疼', '痰饮', '背项强直', '生疮', '偏正头风']"
恍惚,"['产后', '中风', '言语謇涩', '心神惊悸', '饮食不下', '头目眩晕', '眩晕', '产后百损', '血风劳', '不安', '寒热', '口干', '肢体怠情', '惊悸', '干呕']"
赤白痢,"['妊娠', '产后', '肚腹痛', '痢不止', '伤寒', '咳嗽', '干呕', '头痛', '疟', '饮食不下', '赤白带下', '疼痛', '不止', '大小便不通', '霍乱']"
脉弦数,"['口干', '产后', '遍身壮热', '舌质红', '舌苔黄腻', '心神多躁', '眩晕', '妊娠', '伤寒', '血亏', '月经过多', '潮热', '口苦', '咳嗽', '头目眩晕']"
口苦,"['口干', '饮食不下', '干呕', '头目眩晕', '寒热', '妊娠', '遍身壮热', '肌体羸瘦', '心神多躁', '头痛', '身疼', '面色黄青', '眩晕', '吞酸', '产后']"
血结,"['产后', '月经不通', '肚腹痛', '堕胎', '干呕', '气滞', '寒热', '疼痛', '饮食不下', '月经不调', '涩', '腰痛', '遍身壮热', '元气虚惫', '结生瘕聚']"
乳痈,"['产后', '疼痛', '痈', '疮疥', '痈疽发背', '肿痛', '遍身壮热', '寒热', '热毒', '疳', '瘰疬', '疖', '肿毒', '月经不调', '头痛']"
面色苍黄,"['饮食不下', '干呕', '肢节无力', '眩晕', '血崩', '结生瘕聚', '月经不调', '寒热', '赤白带下', '元气虚惫', '产后', '月经不通', '遍身壮热', '口干', '月经过多']"
胀满,"['产后', '饮食不下', '干呕', '妊娠', '肚腹痛', '喘促', '胸膈', '遍身壮热', '疼痛', '痰饮', '恶心', '咳嗽', '眩晕', '腹刺痛', '子悬']"
神昏,"['产后', '中风', '言语謇涩', '昏迷不省', '头目眩晕', '血晕', '饮食不下', '肚腹痛', '寒热', '眩晕', '头痛', '口干', '吐泻', '干呕', '口急']"
半身不遂,"['产后', '中风', '言语謇涩', '脚手痹顽', '左瘫右痪', '四肢急掣', '头痛', '痰饮', '干呕', '赤白带下', '头目眩晕', '血风劳', '五劳', '寒湿', '偏正头风']"
不乳出,"['产后', '月经不通', '遍身壮热', '血崩', '气短促', '痈', '血衰', '脉涩不行', '寒热', '不育', '产后百损', '大小便不通', '胎漏', '气血虚弱', '气血虚']"
疝气,"['赤白带下', '痢不止', '咳嗽', '五劳', '干呕', '风湿脚气', '疼痛', '结生瘕聚', '月经不调', '疟', '肚腹痛', '寒湿', '瘰疬', '月经不通', '带下']"
膨胀腹满,"['妊娠', '饮食不下', '干呕', '产后', '肚腹痛', '伤寒', '月经不通', '遍身壮热', '寒热', '心神惊悸', '阴寒', '所下', '口干', '结生瘕聚', '大小便不通']"
言语不得,"['中风', '产后', '口急', '伤寒', '眩晕', '涩', '四肢急掣', '妊娠', '干呕', '难产', '感冒', '头痛', '口干', '痢不止', '血崩']"
经前腹痛,"['月经不调', '产后', '月经不通', '气滞', '肚腹痛', '饮食不下', '疼痛', '带下', '不育', '血亏', '腰痠', '咳嗽', '干呕', '遍身壮热', '赤白带下']"
有汗,"['产后', '遍身壮热', '饮食不下', '干呕', '口干', '月经不调', '肌体羸瘦', '咳嗽', '血崩', '元气虚惫', '气短促', '肚腹痛', '寒热', '头目眩晕', '大小便不通']"
四肢肿,"['产后', '喘促', '寒热', '头面肿满', '妊娠', '干呕', '大小便不通', '饮食不下', '咳嗽', '口干', '胎衣不下', '血分', '月经不通', '痢不止', '血崩']"
阴虚,"['产后', '遍身壮热', '潮热', '口干', '盗汗', '内热', '头痛', '头目眩晕', '咳嗽', '血亏', '月经过多', '眩晕', '饮食不下', '赤白带下', '肌体羸瘦']"
经行无定期,"['饮食不下', '赤白带下', '崩中漏下', '不育', '眩晕', '肚腹痛', '遍身壮热', '月经不调', '肢节无力', '阴中冷', '腰痠', '产后', '月经不通', '血亏', '头目眩晕']"
