聚类,数字,数量,id
"['寒热', '咳嗽']","[8, 12]",38,"[16569, 20625, 3530, 55933, 25866, 29631, 6757, 13410, 16606, 19720, 20037, 28086, 14831, 5257, 7123, 11327, 21459, 30156, 55292, 2851, 22614, 14538, 20028, 33224, 51101, 3584, 4039, 20406, 33223, 3501, 28090, 76647, 19994, 64516, 13409, 76644, 36938, 63700]"
"['胁痛潮热', '咳而无痰']","[1598, 1859]",1,[9311]
"['心阳内耗', '液脱阳离']","[1652, 2155]",1,[11909]
"['肢节无力', '面色黄青']","[43, 52]",19,"[23191, 66569, 13934, 35287, 23062, 31813, 55030, 16602, 38421, 39066, 38480, 53733, 7119, 63249, 82252, 53179, 38766, 9572, 16310]"
"['多倦', '多睡']","[46, 104]",19,"[20375, 35304, 31530, 20374, 2975, 4124, 11218, 19710, 23600, 38414, 64565, 24433, 53785, 67647, 17922, 68379, 4132, 32538, 415]"
"['妊娠', '眩晕']","[1, 21]",45,"[4278, 39165, 13268, 19718, 26970, 39201, 55890, 78898, 78900, 17144, 29432, 38952, 3994, 22980, 71667, 16603, 17151, 17623, 39212, 73831, 16384, 29434, 66443, 69643, 80863, 12726, 18926, 22983, 53370, 80873, 80891, 15083, 23211, 29211, 38965, 80860, 80919, 80951, 53414, 11385, 18911, 22889, 63578, 78221, 70927]"
"['女子血衰', '容色枯瘁']","[1412, 1500]",2,"[32701, 77091]"
"['疮疥', '痈疽发背']","[89, 228]",18,"[66744, 6958, 68706, 27198, 57790, 29580, 52168, 68698, 14448, 23742, 68702, 72706, 276, 20939, 52658, 68085, 23769, 57328]"
"['阳微', '牙噤发搐']","[1925, 2182]",1,[55952]
"['烦愦', '不安']","[41, 85]",18,"[84170, 19898, 78863, 4372, 29699, 38644, 12967, 12968, 12966, 12969, 26918, 33216, 38818, 12972, 34115, 59690, 59716, 58741]"
"['小便如血', '斑出黑色']","[1136, 2082]",1,[39149]
"['怒郁伤肝', '忧思伤脾']","[574, 957]",3,"[4272, 4386, 2956]"
"['气力疲乏', '停息']","[1509, 1971]",1,[53328]
"['头皮光急', '鬓有疮痍']","[2024, 2399]",1,[34636]
"['肿硬', '脓血淋漓']","[747, 1011]",3,"[10245, 11856, 62045]"
"['肠胃作痛', '内疽']","[1665, 1975]",1,[57490]
"['颧红', '经行乳胀']","[1827, 2410]",1,[10841]
"['心闷', '倒错不识人']","[293, 397]",4,"[10173, 34178, 50970, 53220]"
"['脉弦数', '舌质红']","[122, 362]",14,"[80839, 80920, 80838, 62713, 69821, 80910, 80932, 80857, 80881, 80891, 80926, 80909, 80919, 63139]"
"['血气未定', '心下痞闷']","[1473, 1632]",1,[4153]
"['惊风', '胎风']","[187, 214]",8,"[28871, 20071, 8262, 35152, 51681, 51740, 75477, 15768]"
"['上冲心腹', '卵痛']","[1339, 1984]",1,[77205]
"['多倦', '少力']","[46, 234]",20,"[3499, 27866, 53768, 35304, 65276, 65288, 79744, 7063, 19680, 53173, 3508, 11482, 17692, 51335, 53170, 53785, 25832, 25874, 415, 44873]"
"['难产', '涩']","[24, 28]",16,"[12307, 12306, 12755, 13894, 59687, 29257, 11566, 13409, 19523, 66515, 67747, 69698, 84150, 11790, 26906, 6333]"
"['瘀血作痛', '肠痈']","[588, 601]",4,"[57490, 56693, 18990, 80555]"
"['产后气虚', '伤损经络']","[99, 274]",7,"[38498, 38494, 35325, 38499, 38509, 65152, 30166]"
"['筋脉失养', '痛如行痹']","[1311, 2200]",1,[4463]
"['肌肤赤肿', '大头时肿']","[1317, 1499]",2,"[56358, 57785]"
"['腹苦', '生不乳']","[1174, 1322]",2,"[9348, 25871]"
"['痢不止', '疟']","[15, 48]",37,"[20607, 20679, 56655, 54911, 30928, 5818, 80431, 62303, 30194, 82411, 5450, 3549, 5816, 62354, 46118, 72285, 28642, 56220, 68127, 12306, 33844, 62288, 21459, 12758, 60819, 69149, 60844, 68714, 3548, 64516, 68472, 76647, 61526, 276, 27882, 80555, 12401]"
"['身如角弓反张', '牙关紧闭']","[168, 186]",7,"[16305, 19730, 67490, 32590, 67833, 5348, 60866]"
"['肚腹痛', '动胎']","[4, 11]",60,"[1102, 31469, 31864, 80570, 16851, 26913, 31728, 31175, 71899, 29432, 38952, 55913, 65152, 4335, 11196, 39261, 53581, 53583, 56101, 6343, 30166, 39256, 39311, 53554, 53578, 53608, 4285, 53565, 2837, 2860, 39308, 39318, 53571, 58666, 80946, 2829, 8948, 39247, 39292, 39298, 39324, 58655, 79378, 80952, 15085, 39302, 53574, 58671, 67833, 3501, 11547, 12958, 17631, 26903, 53591, 78221, 9597, 10623, 70233, 54324]"
"['羞明', '翳膜']","[430, 522]",7,"[23467, 25231, 25204, 63943, 29032, 59952, 18903]"
"['腹大如妊', '相狎']","[1365, 2229]",1,[11287]
"['妊娠血痢', '注下不止']","[1303, 1489]",1,[9066]
"['血脉虚弱', '皮聚']","[1193, 1314]",1,[76779]
"['肚腹痛', '月经过多']","[4, 17]",46,"[55991, 80570, 16851, 26913, 5450, 13911, 65152, 39256, 39297, 39311, 80839, 82943, 30166, 30315, 39283, 53578, 4285, 53565, 53668, 80952, 29617, 80946, 39270, 39288, 39298, 39319, 8885, 19326, 21178, 39300, 12958, 39260, 68379, 17631, 33195, 53264, 79874, 8747, 10623, 26903, 28791, 32741, 53591, 63565, 70233, 54324]"
"['带下', '血崩']","[19, 27]",22,"[31722, 6359, 25834, 30166, 71667, 15132, 80586, 1855, 20010, 64950, 26736, 64568, 77331, 81889, 1889, 32462, 71662, 25839, 26641, 70218, 22808, 79542]"
"['饮食不下', '渐渐羸瘦']","[2, 33]",90,"[30424, 65155, 15808, 19711, 25841, 38496, 35303, 59019, 29580, 30145, 38444, 53134, 59006, 35311, 38455, 44986, 38447, 38748, 83249, 83251, 19738, 29146, 38404, 38511, 53527, 58854, 60217, 76573, 19846, 26700, 38421, 38473, 38509, 53633, 58475, 3564, 6359, 19704, 19708, 51382, 19898, 29999, 32743, 35325, 38837, 53156, 53782, 14969, 19895, 30156, 33844, 35265, 38429, 38889, 39372, 63625, 13419, 38856, 39261, 39396, 53785, 60252, 78918, 1686, 53557, 73033, 11527, 17131, 20042, 38661, 39079, 39107, 55748, 19734, 38827, 38919, 53196, 64571, 11262, 16357, 29684, 39076, 19709, 19759, 38785, 38795, 32192, 65111, 81555, 4122]"
"['赤白青黑', '苦绞痛']","[1425, 1438]",2,"[30133, 30311]"
"['妇人血气', '冷气']","[71, 112]",9,"[19850, 72119, 76814, 28266, 28594, 3362, 17439, 19830, 37189]"
"['阴蚀疮', '下肢溃疡']","[173, 637]",5,"[78285, 78324, 78339, 986, 78247]"
"['大便后下血', '衄血']","[164, 227]",8,"[33964, 77250, 13898, 69109, 1257, 13622, 62732, 64537]"
"['腮虚肿', '鬓有疮痍']","[1828, 2399]",1,[34636]
"['小便如血', '胎欲落']","[1136, 1906]",1,[39149]
"['舌苔黄腻', '色红']","[409, 702]",4,"[80932, 80880, 80893, 80839]"
"['胎燥萎', '忧郁不解']","[649, 2049]",1,[4329]
"['风入五脏', '偏枯不仁']","[1625, 1969]",1,[29193]
"['血冲上昏闷', '暴血下']","[1472, 2093]",1,[642]
"['瘾疹丹起', '筋脉肌肉疼痛']","[1480, 1557]",1,[53137]
"['产后伤寒并痢', '瘦不能食']","[707, 1116]",2,"[38861, 51438]"
"['不安', '恍惚']","[85, 120]",9,"[29694, 53201, 29150, 29700, 18583, 71057, 50958, 51285, 60488]"
"['命门失守', '液脱阳离']","[2000, 2155]",1,[11909]
"['悲泣不止', '歌詠言笑']","[2063, 2105]",1,[38710]
"['产后', '血晕']","[0, 50]",104,"[80431, 3530, 22782, 25866, 80570, 26909, 14491, 34214, 13410, 19731, 25817, 12310, 12912, 14554, 32347, 31698, 34213, 55478, 19568, 26897, 4028, 21459, 5180, 34218, 63563, 4026, 11540, 34207, 34211, 55830, 66652, 11837, 21111, 23005, 60488, 80909, 4025, 11846, 13409, 22842, 34177, 34178, 34208, 54440, 58683, 74479, 80959, 618, 2824, 4182, 10173, 16985, 31150, 34124, 66531, 11492, 14842, 22975, 50970, 56204, 62118, 69892, 77143, 77343, 2845, 6741, 26900, 33418, 34168, 50967, 50968, 50992, 55763, 55831, 60873, 63254, 64991, 67816, 80947, 3554, 6353, 9448, 26901, 31247, 34197, 50972, 50974, 50990, 50995, 56066, 73698, 3952, 4024, 10177, 11564, 11565, 16306, 29220, 50983, 77278, 4015, 17716, 22434, 67826]"
"['寒气客于子门', '血壅不流']","[1214, 2326]",1,[4289]
"['胎风', '惊热']","[214, 829]",3,"[35189, 35190, 35229]"
"['言语謇涩', '恍惚']","[36, 120]",16,"[56123, 38553, 11222, 38540, 38569, 37718, 29620, 29644, 38608, 20087, 26985, 8957, 38634, 50958, 51093, 63625]"
"['肝脏壅热', '腮颈颐项发肿']","[1619, 1822]",1,[4278]
"['血热', '月经先期']","[179, 294]",9,"[11427, 8906, 14778, 22906, 664, 66562, 64062, 2965, 8843]"
"['肠风', '痔漏']","[147, 273]",18,"[83828, 66744, 73023, 28086, 32347, 19198, 63690, 11172, 43709, 68714, 14538, 3501, 72113, 9932, 28101, 12401, 23936, 65127]"
"['血崩', '吐血不止']","[27, 70]",17,"[63437, 63439, 5450, 30195, 22867, 30315, 32402, 77371, 14496, 27749, 31804, 31822, 28018, 79542, 14596, 22808, 62732]"
"['难产', '胎衣不下']","[24, 68]",25,"[22782, 55933, 62303, 12912, 55478, 62082, 55974, 21459, 53285, 29253, 63743, 19523, 53336, 53338, 15701, 27015, 53310, 4020, 3937, 8723, 27016, 53312, 62083, 78905, 19553]"
"['口急', '身如角弓反张']","[60, 168]",24,"[4253, 39127, 77333, 12765, 51095, 17142, 29625, 43405, 67543, 4418, 51053, 51075, 53146, 67490, 5348, 38615, 68081, 71410, 80912, 51062, 6353, 10665, 26989, 51108]"
"['呻吟', '下瘀']","[777, 906]",3,"[3975, 3978, 3981]"
"['胸膈停痰', '痈疽未破']","[1591, 2197]",1,[14523]
"['胞络伤损', '手足寒热']","[894, 965]",3,"[39057, 65153, 25842]"
"['齿皆恶热饮', '大恶汤饮']","[1855, 2019]",1,[20342]
"['痒涩起赤障', '妊娠目赤肿痛']","[2199, 2413]",1,[4260]
"['瘀血不散', '风滞']","[1524, 2395]",1,[53154]
"['两乳细小', '胃血干燥']","[1321, 1671]",1,[2868]
"['阴虚', '内热']","[137, 192]",10,"[19438, 29699, 56057, 69977, 84163, 4211, 32125, 63647, 64537, 66384]"
"['侵损荣卫', '精血攻冲']","[1963, 2251]",1,[55903]
"['虚寒带下', '浊淫']","[1403, 1926]",1,[71858]
"['乍作乍止', '气血俱实']","[1955, 2133]",1,[12569]
"['妊娠', '伤寒']","[1, 18]",116,"[4274, 53377, 4330, 14788, 29218, 39156, 39226, 39142, 39155, 39157, 39168, 39189, 39204, 39211, 53367, 59684, 82098, 12343, 17641, 33224, 39124, 39140, 39184, 39194, 39207, 39219, 44199, 73831, 77338, 9070, 10164, 17645, 23210, 33411, 39167, 39217, 53379, 11493, 12977, 25818, 28832, 38974, 39125, 39141, 39171, 39176, 39224, 39231, 62648, 63276, 67438, 69645, 77157, 77160, 77161, 77163, 77164, 77165, 77166, 77169, 77176, 77188, 82050, 12980, 15082, 15086, 15089, 23198, 33184, 33415, 38950, 39114, 39158, 39173, 53361, 53378, 53397, 53401, 67757, 71343, 77177, 77182, 77289, 82061, 82142, 10708, 11581, 14776, 15072, 19684, 23122, 39159, 53376, 59689, 78032, 19754, 33409, 39132, 39151, 67758, 82096, 36876, 39154, 50816, 55824, 78221, 10485, 23221, 33417, 39188, 44161, 53408, 16318, 26894, 26973, 53349]"
"['心腹胀', '食积']","[45, 178]",11,"[32005, 72983, 3564, 19859, 19947, 58854, 63594, 19865, 33233, 80567, 24693]"
"['脐下生疮', '湿癣白秃']","[1706, 2171]",1,[56673]
"['产后', '头痛']","[0, 9]",110,"[32163, 31885, 76964, 62354, 25866, 29454, 29465, 31955, 64986, 11455, 13410, 20490, 4365, 29605, 38551, 38566, 56247, 4428, 34130, 34131, 51112, 75633, 28312, 51064, 65276, 67824, 79744, 7063, 11263, 18928, 22977, 33855, 35285, 38547, 38651, 51081, 51086, 51090, 11240, 23230, 38533, 38544, 38552, 38613, 51057, 51340, 51490, 58741, 66231, 66535, 4946, 26933, 29592, 29699, 38577, 51071, 51084, 51101, 51106, 55957, 56109, 83279, 84168, 5895, 11021, 14841, 22921, 29594, 38584, 51067, 51096, 51098, 51418, 55950, 56064, 5454, 8953, 11235, 19498, 19710, 22317, 22793, 29610, 32534, 51113, 80567, 29990, 33155, 51055, 12742, 19994, 29654, 59705, 80944, 38619, 47464, 51482, 69491, 72721, 3901, 6579, 11468, 22676, 134, 10538, 16317, 31358, 72572, 80555, 67815]"
"['干呕', '肚腹痛']","[3, 4]",61,"[30928, 12112, 69101, 32163, 76814, 38424, 17824, 60872, 19138, 45201, 65154, 20490, 55991, 71759, 82807, 31864, 65288, 5087, 26923, 12306, 19833, 19871, 22908, 23742, 29432, 30359, 38952, 82943, 29221, 32868, 58693, 3980, 12914, 33219, 20028, 33216, 80033, 1848, 4032, 14538, 15585, 74314, 74944, 80952, 16739, 19231, 20047, 34218, 80936, 13436, 19451, 19994, 39205, 68379, 44568, 10322, 55552, 61766, 65111, 78221, 80555]"
"['口急', '背项强直']","[60, 83]",17,"[29454, 29465, 26902, 11225, 55910, 59163, 56006, 22916, 23121, 55918, 55952, 27852, 8947, 5348, 29622, 63578, 70927]"
"['肚腹痛', '遍身壮热']","[4, 7]",32,"[32163, 62354, 5450, 80570, 20490, 71759, 5816, 56247, 13935, 17904, 55913, 57514, 56462, 23007, 53786, 69802, 80936, 1848, 33216, 53772, 69288, 5454, 16739, 18645, 19523, 77115, 69491, 26903, 60200, 78221, 61766, 80555]"
"['小儿胎寒', '大便色黑']","[393, 571]",8,"[77009, 34358, 26421, 51925, 74952, 36761, 30277, 30616]"
"['月经不调', '眩晕']","[6, 21]",43,"[1953, 31439, 31585, 31722, 83248, 23191, 5450, 16566, 17925, 19716, 22969, 54998, 39057, 55030, 65153, 1981, 45201, 53801, 80551, 20411, 32025, 62289, 65152, 78870, 5257, 25842, 70131, 30166, 32402, 78391, 22614, 53756, 22842, 1294, 11360, 20488, 31246, 80581, 70218, 67364, 72723, 76280, 80555]"
"['皮聚', '毛落']","[1314, 1443]",2,"[658, 76779]"
"['痈', '疮疥']","[73, 89]",26,"[29580, 66744, 57790, 68706, 20490, 27198, 29426, 72285, 14448, 23742, 68702, 13118, 13999, 13622, 57629, 20939, 30369, 63675, 31663, 52658, 73963, 16900, 30881, 80752, 23769, 29420]"
"['寒热', '口干']","[8, 14]",45,"[55933, 6757, 14491, 19714, 16568, 16606, 38927, 38442, 53115, 18027, 38515, 38808, 20037, 25819, 25834, 12306, 5257, 53173, 55292, 62713, 21459, 51101, 18407, 20028, 22614, 29641, 33223, 38586, 63563, 63826, 66440, 67647, 77304, 16305, 19730, 63807, 25886, 39122, 73567, 13409, 25874, 62714, 67833, 23217, 32192]"
"['血晕', '昏迷不省']","[50, 77]",23,"[80570, 14491, 12310, 78912, 78910, 80909, 50987, 54440, 4182, 31150, 22975, 23056, 14496, 67825, 5113, 6353, 78221, 11564, 11565, 16320, 77278, 1699, 31247]"
"['瘙痒', '瘾疹']","[448, 630]",4,"[57749, 6549, 32835, 11664]"
"['流血不止', '脓血淋漓']","[830, 1011]",3,"[10245, 11856, 62045]"
"['带下黄色', '任脉湿热']","[1068, 1373]",2,"[2949, 2971]"
"['小肠不利', '赤涩疼痛']","[1349, 2359]",1,[9595]
"['啼泣不止', '歌笑无度']","[2004, 2104]",1,[37722]
"['小儿胎寒', '躽啼']","[393, 840]",3,"[51924, 26375, 34336]"
"['舌质红', '舌苔黄腻']","[362, 409]",9,"[80839, 80920, 80881, 80926, 80932, 80857, 80880, 80910, 63139]"
"['腹或阴中疼痛', '脉沉迟或沉微。']","[1876, 2281]",1,[77166]
"['侵损荣卫', '病患相感']","[1963, 2194]",1,[55903]
"['带下', '不育']","[19, 20]",27,"[31722, 65134, 30145, 54991, 16566, 31351, 31343, 30155, 62082, 12608, 26742, 33884, 29193, 31307, 59736, 79357, 1703, 60544, 76923, 11159, 29252, 11362, 13258, 30109, 64568, 44787, 26865]"
"['遍身壮热', '头痛']","[7, 9]",83,"[32163, 62354, 19695, 29454, 29465, 31955, 5816, 20490, 71759, 37724, 56247, 4365, 12590, 38551, 78896, 11366, 22824, 51081, 77890, 82481, 11263, 18928, 26933, 33855, 38552, 51086, 51490, 55957, 82098, 3899, 4946, 32243, 33224, 38577, 38946, 44199, 62148, 77338, 1682, 5454, 19498, 33223, 55950, 56064, 72289, 84168, 3584, 11021, 11235, 12847, 13559, 19710, 22793, 22921, 38584, 39217, 63895, 76105, 77164, 77165, 12980, 16739, 33155, 77275, 12742, 14776, 19684, 59689, 32192, 51482, 59668, 63271, 22676, 34319, 55824, 69491, 78221, 80944, 28833, 72572, 80555, 82267, 82644]"
"['脾气受伤', '多食厚味']","[1682, 2018]",1,[55954]
"['血晕', '胎衣不下']","[50, 68]",18,"[22782, 3530, 80431, 25866, 62082, 12912, 55478, 4131, 63563, 11540, 21459, 78910, 63743, 618, 64991, 26899, 31247, 16306]"
"['寒气客于子门', '凝结不散']","[1214, 1445]",1,[4289]
"['腹皮宽胀', '忧乐不常']","[1564, 2048]",1,[4282]
"['胞胎寒冷', '胞胎寒冷']","[1887, 1887]",1,[2953]
"['潮热', '面色发红']","[107, 169]",12,"[57514, 56462, 20036, 19727, 22614, 27067, 12596, 19710, 18909, 69821, 12583, 63235]"
"['产后', '遍身壮热']","[0, 7]",134,"[32163, 31722, 5450, 31955, 62354, 80570, 29454, 29465, 55765, 4410, 20373, 20490, 56247, 68054, 4400, 4401, 4417, 63619, 4365, 4405, 4406, 4407, 38551, 56121, 4402, 4403, 12329, 60547, 69891, 4404, 18647, 71260, 51081, 67002, 69802, 76093, 78918, 83282, 4946, 5257, 11263, 18928, 21171, 26933, 33855, 38552, 51065, 51086, 51188, 51209, 51490, 56117, 78911, 11439, 11481, 19332, 22924, 26922, 38577, 55957, 67491, 72270, 72580, 76778, 84181, 4067, 5454, 17698, 19408, 19498, 22921, 51473, 51501, 51524, 55950, 56064, 60185, 78913, 80936, 84168, 2848, 2854, 4467, 11021, 11235, 12326, 12761, 17721, 19533, 19546, 19710, 22793, 38584, 51311, 80944, 2844, 17691, 18646, 19523, 19754, 22978, 33155, 80857, 6308, 12742, 14820, 17680, 50973, 51279, 59700, 67410, 72730, 80836, 80870, 80912, 80921, 10402, 50935, 51482, 69491, 69856, 18644, 18990, 22676, 50381, 60847, 62727, 63700, 80390, 11472, 61766, 62708, 72572, 80555]"
"['产后咳嗽', '心胸不和']","[1297, 1592]",1,[38575]
"['风湿脚气', '寒湿']","[110, 111]",13,"[56655, 13863, 1953, 83828, 19236, 80595, 56207, 20490, 6881, 56220, 71127, 69002, 32595]"
"['去衣而走', '如风鬼神']","[1985, 2026]",1,[4444]
"['饮食不下', '月经不通']","[2, 5]",92,"[1953, 30194, 3534, 53704, 11627, 38424, 38662, 76964, 15893, 55024, 21306, 30155, 39391, 55000, 14491, 23064, 55986, 82944, 16352, 25817, 38484, 38838, 65156, 3499, 26700, 38438, 43725, 58475, 58696, 66549, 74960, 78869, 4417, 5143, 19708, 23189, 27124, 31893, 38683, 38741, 53778, 53782, 1616, 29999, 30156, 38779, 38829, 38893, 53768, 67679, 18903, 23079, 53785, 66558, 70131, 81554, 1686, 30136, 38746, 38856, 53777, 53787, 54997, 78918, 5257, 23012, 38719, 38783, 22992, 38661, 80885, 4124, 81449, 81541, 3625, 11262, 11560, 39426, 69256, 38679, 38698, 19709, 38713, 38785, 81555, 3319, 32192, 36577, 38795, 63823, 28271, 10464]"
"['舌质红', '量多']","[362, 534]",0,[]
"['月经不通', '寒热']","[5, 8]",46,"[29997, 30023, 30194, 53184, 25866, 55024, 82947, 39335, 14491, 23064, 11455, 13410, 16352, 25817, 38484, 30187, 65156, 66549, 78869, 5143, 14523, 23189, 26700, 54995, 23079, 29999, 30156, 38802, 66558, 17123, 54997, 77373, 5257, 23012, 38800, 53777, 77304, 38764, 38679, 28271, 32192, 32538, 19918, 71349, 10250, 26689]"
"['血风劳', '身疼']","[26, 32]",47,"[20089, 67878, 83372, 21438, 65161, 19714, 44986, 38503, 53175, 24975, 37696, 20087, 36303, 37659, 37677, 37728, 37734, 53145, 25817, 37652, 37682, 37742, 37763, 16363, 20115, 32523, 53177, 53744, 26783, 53173, 53118, 53154, 20076, 20082, 37707, 53153, 53164, 53179, 9523, 20118, 37757, 3468, 32653, 48616, 53176, 11613, 55788]"
"['乳悬', '两乳细小']","[861, 1321]",1,[69542]
"['五劳', '寒湿']","[74, 111]",16,"[56655, 1953, 83828, 33698, 80595, 70337, 56207, 73023, 69002, 29136, 57790, 76352, 56220, 32868, 67679, 24763]"
"['惊胎', '惊风']","[176, 187]",9,"[8261, 54825, 17890, 60929, 65022, 8262, 28865, 60942, 74554]"
"['肝气郁结', '乳房发胀']","[605, 804]",2,"[81452, 81460]"
"['小儿胎寒', '盘肠内瘹']","[393, 1356]",2,"[34358, 77009]"
"['难产', '死胎不出']","[24, 275]",12,"[55933, 55729, 55974, 55478, 19401, 27028, 7095, 23077, 78905, 11572, 224, 82674]"
"['胞胎肥厚', '腹皮宽胀']","[1413, 1564]",1,[4282]
"['痘疮', '凝滞']","[341, 371]",3,"[16900, 30881, 19519]"
"['腰痛下血', '情欲相扰']","[1050, 2066]",1,[55903]
"['气血', '冲任不固']","[58, 88]",10,"[67674, 79413, 16603, 17923, 20037, 55923, 64992, 4383, 39053, 12769]"
"['烦乱', '腹中拘痛']","[789, 1364]",2,"[51095, 59123]"
"['妊娠血痢', '黄水不绝']","[1303, 2404]",1,[8944]
"['上气', '咳逆']","[201, 322]",11,"[30194, 29580, 29150, 59104, 27063, 33224, 51276, 51266, 59245, 23605, 33704]"
"['血冲上昏闷', '血暴下']","[1472, 2328]",1,[654]
"['胎衣不下', '死胎']","[68, 81]",23,"[3530, 25820, 5140, 22782, 25866, 12912, 63563, 68698, 7093, 53348, 53295, 53310, 53336, 53338, 9423, 14844, 62158, 71882, 642, 654, 27015, 3937, 27016]"
"['羞明', '赤眼肿痛']","[430, 443]",5,"[19811, 28697, 23467, 29032, 59952]"
"['弦急', '赤白青黑']","[1005, 1425]",2,"[30133, 30311]"
"['带下', '崩中漏下']","[19, 34]",42,"[31892, 13938, 31481, 19711, 31351, 31861, 1025, 31343, 31681, 16566, 30145, 1215, 6094, 60793, 13410, 80572, 39062, 39057, 65153, 20411, 59736, 65157, 25842, 65151, 19450, 64956, 10841, 20381, 22907, 5825, 11362, 54353, 56204, 64575, 80791, 30989, 989, 67364, 72723, 76280, 12202, 80766]"
"['腹苦', '冻如葵汁']","[1174, 1426]",2,"[9348, 25871]"
"['去衣而走', '登高而歌']","[1985, 2227]",1,[4444]
"['子淋', '热痛']","[318, 528]",3,"[53470, 58672, 69977]"
"['血衰', '气盛']","[533, 657]",4,"[59736, 17922, 25834, 17128]"
"['产门', '结毒']","[432, 728]",3,"[10245, 11856, 62045]"
"['心血虚弱', '含糊謇涩']","[1342, 1997]",1,[56076]
"['容色枯瘁', '大风血癞']","[1500, 2021]",1,[77091]
"['心阳内耗', '内劳无度']","[1652, 1974]",1,[11909]
"['六脉乍大乍小', '相狎']","[1374, 2229]",1,[11287]
"['疼痛', '结生瘕聚']","[16, 35]",21,"[67682, 5818, 3530, 29774, 76814, 55013, 39434, 39473, 67679, 39347, 80849, 22842, 35294, 53514, 76800, 19830, 28271, 31730, 39406, 30989, 67822]"
"['咯痰带血', '衄血']","[208, 227]",7,"[1348, 31914, 1041, 964, 31219, 1347, 31822]"
"['吐痰', '哮喘']","[490, 658]",3,"[59420, 62303, 59436]"
"['寒热', '头痛']","[8, 9]",51,"[16569, 30198, 25866, 55024, 82947, 82940, 13926, 23064, 23076, 64986, 11455, 13410, 55754, 34131, 66549, 78869, 23189, 4274, 53115, 23079, 66558, 51340, 54997, 62713, 72288, 82259, 23012, 63819, 11240, 33224, 39325, 51101, 56109, 56996, 29641, 33223, 63568, 3584, 15605, 19855, 77304, 16739, 53568, 3501, 15078, 19994, 39122, 32192, 34319, 78221, 3901]"
"['脚手痹顽', '偏正头风']","[148, 157]",15,"[30928, 80595, 83828, 19236, 21449, 83242, 65339, 71351, 79745, 20106, 7058, 20107, 20074, 10538, 17884]"
"['面色乍赤乍白', '相狎']","[1387, 2229]",1,[11287]
"['气闭肚疼', '白泻']","[1744, 2228]",1,[28226]
"['不能久立', '赤白青黑']","[1218, 1425]",2,"[30133, 30311]"
"['营卫不调', '血衰血阻']","[1532, 2341]",1,[55958]
"['结毒', '脓血淋漓']","[728, 1011]",3,"[10245, 11856, 62045]"
"['胸膈', '吞酸']","[102, 170]",11,"[80357, 19837, 19846, 19887, 80361, 19882, 19895, 19833, 19873, 19843, 32538]"
"['阻滞', '溺窍不通']","[915, 1444]",2,"[4362, 4391]"
"['多吃冷水', '腹内刺痛不止']","[1222, 1738]",1,[39162]
"['中脘宿冷', '冷血侵脾']","[1352, 1354]",2,"[7169, 32846]"
"['胎元久冷', '下部阴湿']","[1904, 1943]",1,[29045]
