组合,关联度系数
"['祛风', '止血']",0.002262519458665402
"['止痛', '散寒']",0.006247988072456523
"['祛风', '利湿']",9.726808390653208e-05
"['清热', '除湿']",0.005548248500873543
"['清热', '化痰']",1.229298172811255e-06
"['止痛', '理气']",0.006270622896471734
"['舒筋', '活络']",0.038469937802433185
"['解毒', '利水']",1.3004893849588584e-06
"['解毒', '散结']",0.0007554732583077151
"['止咳', '平喘']",0.020806079448654702
"['止血', '止咳']",1.0064090764982936e-05
"['清热', '杀虫']",0.0006482439754013081
"['祛风', '散瘀']",0.0004238597306427394
"['清热', '利水']",1.4508213140196347e-05
"['消肿', '止咳']",0.0002959361975707342
"['消肿', '除湿']",0.00017494650646676657
"['消肿', '利尿']",0.0006863555999059301
"['止血', '收敛']",0.012227248317705497
"['清热', '燥湿']",0.001968755082688567
"['止咳', '润肺']",0.015145487524065582
"['止痛', '利湿']",0.0005263467675944433
"['活血', '止咳']",0.00018004012052919016
"['活血', '行气']",0.0026672168608370406
"['活血', '通络']",0.005691588747045007
"['清热', '散结']",0.00020541576870269918
"['解毒', '化痰']",0.001222097994970528
"['止痛', '止咳']",0.0012852138262917645
"['杀虫', '止痒']",0.014578969551618137
"['清热', '通淋']",0.0012338603867310116
"['活血', '祛瘀']",0.006957172391107713
"['祛风', '止咳']",0.0005944269431731319
"['解毒', '敛疮']",0.0009202436464138541
"['祛风', '止痒']",0.003991350170056696
"['解毒', '止痒']",2.7373424670851243e-05
"['祛风', '活络']",0.00516673697551151
"['活血', '舒筋']",0.00411099402699322
"['清热', '明目']",1.6833067651877975e-05
"['消肿', '散结']",0.0020471585489572064
"['利尿', '通淋']",0.01310993767142593
"['祛风', '舒筋']",0.003177465171014582
"['止咳', '清肺']",0.011365666389672735
"['解毒', '通淋']",0.000149077728890612
"['消肿', '凉血']",6.881505250277975e-05
"['祛风', '杀虫']",1.4871054901499647e-05
"['止咳', '祛痰']",0.010112526431789004
"['解毒', '燥湿']",4.035337110797066e-05
"['止痛', '通络']",0.0016148377150262405
"['祛风', '行气']",0.0005516589231795432
"['清热', '疏风']",0.0017113907625538882
"['止血', '生肌']",0.00344529390720949
"['利湿', '凉血']",0.0009210986551944078
"['明目', '清肝']",0.02226507492147317
"['解毒', '健脾']",0.002135056200123886
"['止咳', '利湿']",1.075607134792822e-05
"['活血', '化瘀']",0.003961285973442807
"['解毒', '明目']",0.0005341390045817684
"['止血', '除湿']",0.0013614069356497893
"['止血', '利尿']",8.448411507377962e-06
"['清热', '止痒']",0.00014115370932121785
"['除湿', '散瘀']",0.0002431380894233337
"['解毒', '祛瘀']",3.729703487498348e-06
"['止痛', '祛瘀']",0.0014463861085493024
"['止痛', '温中']",0.0026163322117921384
"['利水', '通淋']",0.009749533594925697
"['解毒', '生肌']",3.536373007828608e-05
"['止痛', '杀虫']",0.0005738018830975244
"['解毒', '行气']",0.003066641224299671
"['解毒', '消积']",7.808563996758444e-05
"['止咳', '除湿']",0.00010271114721016605
"['解毒', '泻火']",0.0014565599718017186
"['清热', '泻火']",0.0017825433596433404
"['清热', '调经']",0.0006572213757378709
"['祛风', '解表']",0.001143561545994487
"['活血', '利尿']",0.00026306855472524315
"['解毒', '通络']",0.0008140520688036945
"['止痛', '活络']",0.0005393676060372332
"['消肿', '杀虫']",0.0005799722217751935
"['消肿', '化痰']",0.00014378561790862054
"['散寒', '温中']",0.01055267385444053
"['清热', '解表']",0.00010844682406840889
"['止痛', '调经']",8.25961333148495e-05
"['祛风', '化痰']",7.695739107627109e-05
"['除湿', '通络']",0.002436105593226656
"['除湿', '舒筋']",0.0025491704048308805
"['利湿', '健脾']",0.001087130994507357
"['活血', '通经']",0.002730446860441882
"['解毒', '清肺']",2.7507628175271748e-08
"['消肿', '祛瘀']",0.0008177436300659258
"['止痛', '舒筋']",0.00015225433280841028
"['化痰', '散结']",0.004428431759590623
"['清热', '平肝']",0.0004219214918994574
"['除湿', '散寒']",0.0014296652471610938
"['利湿', '散瘀']",3.8063347157502037e-06
"['止痛', '利尿']",0.0012732481227012427
"['活血', '理气']",0.00014521860590455127
"['止血', '敛疮']",0.0010537811590156654
"['杀虫', '燥湿']",0.004591259635029599
"['解毒', '理气']",0.0020334617323543025
"['止痛', '祛风湿']",0.0005674824168010462
"['解毒', '化瘀']",7.181683854318166e-05
"['解毒', '祛痰']",3.931260418743587e-05
"['解毒', '疗疮']",0.002207865798779074
"['止痛', '消炎']",0.0013809415684324922
"['解毒', '调经']",0.0018205759883406225
"['止咳', '散瘀']",4.060040360331918e-05
"['健脾', '益气']",0.006000649913282696
"['解毒', '收敛']",0.000141831845412832
"['清热', '生肌']",0.0002455057259274085
"['清热', '祛瘀']",0.0002297284605516925
"['祛风', '利尿']",0.0007882585139076248
"['消肿', '行气']",0.00016481122603573262
"['清热', '健脾']",0.0038293242607171374
"['清热', '润肺']",0.0002120155485672015
"['止血', '杀虫']",0.000672696886907187
"['止血', '止泻']",0.0006746409881212001
"['止咳', '凉血']",1.8075609474643706e-05
"['活血', '散寒']",7.140060919841318e-06
"['生津', '止渴']",0.012965243454886283
"['清热', '消积']",0.00039129563862505545
"['祛风', '理气']",3.50450303843175e-06
"['解毒', '止痢']",4.7607417930084495e-07
"['解毒', '利咽']",0.0004546300485903654
"['清热', '收敛']",0.00012503490268900297
"['清热', '除烦']",0.0014461115869931485
"['止痛', '凉血']",0.0026528589764394095
"['止血', '调经']",4.8791460476205195e-05
"['散结', '软坚']",0.011063373490587392
"['清热', '化瘀']",0.00011561920095481959
"['健脾', '消食']",0.004403179112137834
"['清热', '止痢']",8.584509750275693e-06
"['活血', '健脾']",0.00017965047158052805
"['益气', '补中']",0.01560443029239722
"['止痛', '散结']",9.021896791461259e-05
"['止痛', '生肌']",6.195315905133114e-05
"['活血', '利水']",0.00021837226352794392
"['止血', '化瘀']",0.000698678264208441
"['除湿', '活络']",0.0013256208382464996
"['散瘀', '凉血']",2.53642460122383e-05
"['清热', '生津']",7.253955672792411e-05
"['止痛', '化痰']",0.0011933733292205373
"['止血', '接骨']",0.001023455376418958
"['杀虫', '消积']",0.0029567113480898355
"['清热', '消食']",0.0007897014434299354
"['清热', '利咽']",0.0004007924031638188
"['祛风', '健脾']",0.00032932747575609156
"['止咳', '利尿']",3.1122547978379433e-05
"['除湿', '杀虫']",9.713002923017466e-06
"['清热', '通络']",0.0016482201429229848
"['除湿', '行气']",0.00013219810763143158
"['补肾', '壮阳']",0.011427931106948674
"['解毒', '舒筋']",0.0022345146367320767
"['解毒', '润肺']",0.0009510974321452759
"['清热', '行气']",0.0047027986192319515
"['止痛', '化瘀']",0.00015850431464792258
"['止痛', '接骨']",0.00038532596854334855
"['健脾', '和胃']",0.00490278727282395
"['清热', '敛疮']",0.0007486733663523149
"['止血', '化痰']",0.0006052992835521298
"['止血', '清肺']",0.0005373174518537582
"['解毒', '活络']",0.0017235937040473992
"['解毒', '消食']",0.0015099755950033211
"['解毒', '消炎']",0.00021729128678127374
"['解毒', '平肝']",4.6369936009593715e-05
"['消肿', '健脾']",0.000647909204531949
"['凉血', '利尿']",7.78241732881102e-05
"['行气', '温中']",0.004210129953994113
"['解毒', '平喘']",0.0011750648567023791
"['解毒', '截疟']",5.098451762886036e-06
"['清热', '舒筋']",0.0018135292906682476
"['解毒', '接骨']",0.00032991130084725206
"['消肿', '止痒']",6.438954924026241e-05
"['祛风', '利水']",0.0005847971914141326
"['祛风', '调经']",5.0310073887227524e-05
"['活血', '凉血']",0.0022295708967295935
"['活血', '祛风湿']",0.00013658364225987984
"['解毒', '解表']",0.0017816608610995432
"['解毒', '疏风']",0.00027771426943568045
"['清热', '活络']",0.0013932848877082904
"['清热', '消炎']",0.0001472033548276519
"['止痛', '止痒']",0.0001893252971592041
"['止痛', '解表']",1.2392061147559197e-05
"['除湿', '利尿']",0.0001037330405950776
"['接骨', '续筋']",0.01282125023681456
"['解毒', '散寒']",0.004412054964344381
"['解毒', '驱虫']",0.00011046316517748789
"['解毒', '消痈']",0.0006324886378578087
"['消肿', '散寒']",0.0002868178491718387
"['消肿', '通络']",7.050169152733599e-05
"['止咳', '宣肺']",0.005231656092228865
"['行气', '散寒']",0.0016871364424755342
"['解毒', '止泻']",0.0015398386851011026
"['解毒', '通便']",7.770977241072785e-05
"['清热', '止泻']",0.0010609658462727989
"['清热', '祛痰']",0.0004880711774142288
"['清热', '止渴']",1.7308624027378983e-06
"['祛风', '散结']",0.00014682859974135543
"['活血', '化痰']",0.0010138358594279362
"['活血', '接骨']",0.0003675949986731708
"['止咳', '调经']",0.00019427170878533184
"['活络', '通经']",0.005501164786424123
"['消食', '健胃']",0.005619852935853681
"['通便', '润肠']",0.01157426442423401
"['清热', '平喘']",0.0010641253919543292
"['清热', '通便']",2.189916174533124e-05
"['清热', '截疟']",8.318008269947441e-06
"['止泻', '收敛']",0.004928704170213072
"['解毒', '通经']",0.0004705863442333591
"['清热', '理气']",0.003427472083658123
"['止痛', '利水']",0.001439410308170852
"['活血', '散结']",0.0001547124306870984
"['止咳', '健脾']",2.392927896555097e-06
"['止咳', '解表']",0.00044839237525412523
"['利湿', '化痰']",1.2077440354640867e-05
"['止泻', '涩肠']",0.007870120242084278
"['解毒', '和胃']",0.0006083482344739766
"['清热', '安神']",0.0008691961229684297
"['止痛', '止泻']",2.7709840976997135e-05
"['消肿', '接骨']",0.00013769922439132998
"['活血', '杀虫']",0.0020435125509720153
"['散寒', '理气']",0.0018795455838150898
"['解毒', '透疹']",0.00012406845960577506
"['清热', '祛湿']",1.214740197319486e-08
"['止痛', '祛湿']",0.000518286820352154
"['散瘀', '行气']",7.694145129261143e-05
"['健脾', '消积']",0.0020845184807325445
"['生肌', '敛疮']",0.0037899973622138317
"['解毒', '排脓']",0.0002823647150853592
"['祛风', '通经']",0.00017037315278733978
"['止血', '健脾']",0.0007845553815375439
"['清热', '定惊']",0.0006643903422195452
"['止痛', '健胃']",3.08707617685533e-05
"['消肿', '化瘀']",3.2973467163355252e-06
"['祛风', '明目']",0.0002953577720938849
"['止血', '通淋']",6.504441098731384e-06
"['止咳', '行气']",2.6894188839277078e-05
"['止咳', '散结']",3.0122289391032453e-05
"['化痰', '清肺']",0.002090477824247705
"['安神', '养心']",0.009286541730899628
"['祛风', '温中']",2.8249213001152462e-05
"['活血', '通淋']",2.441591203605764e-05
"['止血', '祛瘀']",2.114184857293644e-06
"['止血', '止痢']",0.00023534463357854918
"['止咳', '杀虫']",0.00044590898910784604
"['除湿', '化痰']",0.00011740503545998315
"['除湿', '健脾']",2.7196527531747616e-05
"['除湿', '通经']",0.0009169656259502279
"['利湿', '退黄']",0.004230475826380031
"['散寒', '活络']",0.002043073416650859
"['强筋', '壮骨']",0.012760637854005372
"['解毒', '祛风湿']",0.002016931721518511
"['解毒', '安神']",0.0016882447736639161
"['止痛', '消食']",0.00019880409392247778
"['消肿', '活络']",0.00013702628744249878
"['消肿', '生肌']",7.041446019817599e-05
"['消肿', '通经']",4.765261860539827e-05
"['祛风', '凉血']",0.003526485873981855
"['止咳', '散寒']",1.269951306781536e-06
"['除湿', '止痒']",6.25164045576776e-05
"['利湿', '调经']",6.231430654590753e-05
"['化痰', '理气']",0.0006832785607440162
"['明目', '退翳']",0.008315334765672117
"['解表', '发汗']",0.006952384207840667
"['解毒', '益气']",0.002485225703009575
"['解毒', '清肝']",0.00019772245342430939
"['清热', '驱虫']",2.730804372963469e-06
"['清热', '解暑']",0.0008483864972755883
"['止痛', '健脾']",0.0019609706419251305
"['消肿', '舒筋']",0.0003220057614103933
"['消肿', '祛痰']",1.8698500947600394e-07
"['消肿', '清肺']",1.3290575573421393e-07
"['活血', '补肾']",5.481090171621794e-06
"['止血', '利水']",0.0010588442296979306
"['止血', '燥湿']",4.866188991903275e-05
"['止血', '涩肠']",0.0011041684472529734
"['利湿', '行气']",2.4626675072580984e-05
"['散寒', '舒筋']",0.0015487726750352537
"['消食', '化积']",0.008054804379064362
"['清热', '通经']",0.0006303831887750633
"['清热', '滋阴']",0.00026309439665084255
"['止痛', '消积']",0.0002098647386805652
"['止痛', '平喘']",0.00015695467642162786
"['消肿', '理气']",0.000702019994419878
"['祛风', '化瘀']",2.5744068543609444e-07
"['活血', '生肌']",4.278778336186395e-05
"['止血', '补肾']",5.701134040636546e-06
"['除湿', '调经']",1.4541037750059882e-05
"['解表', '疏风']",0.0035121405454692223
"['消肿', '通淋']",0.00019287077080398785
"['祛风', '平喘']",4.994467701846528e-05
"['利湿', '消积']",0.0002118591943171544
"['杀虫', '利水']",5.524775583920505e-05
"['化痰', '平喘']",0.001119160460523183
"['利水', '健脾']",0.0003142860857954788
"['健脾', '补肾']",0.0013983854106390248
"['健脾', '开胃']",0.004098550635593334
"['散寒', '解表']",0.0016117445733429547
"['理气', '温中']",0.002285760792457653
"['止痒', '燥湿']",0.001833448169176105
"['解毒', '补虚']",0.0007750143539898557
"['解毒', '祛湿']",0.00023202839123637187
"['清热', '健胃']",0.0007705875066162937
"['清热', '镇惊']",5.425218457455472e-05
"['止痛', '敛疮']",0.00026050374984520897
"['消肿', '调经']",0.0006837921994219398
"['祛风', '祛瘀']",0.00010215611733810359
"['祛风', '胜湿']",0.003475293055247519
"['活血', '平喘']",4.683290836593468e-05
"['利湿', '通淋']",0.00013107352376962034
"['凉血', '清肺']",0.0008465636007868316
"['化痰', '润肺']",0.001037564145643377
"['润肺', '生津']",0.00310237792661458
"['止痛', '通淋']",0.0004158936296064786
"['止痛', '和胃']",1.9200083651083055e-05
"['祛风', '镇痛']",0.0003948836307645087
"['止血', '明目']",0.00048210551902028165
"['止咳', '疏风']",0.00043999564910113254
"['利湿', '舒筋']",2.826613434070424e-05
"['利湿', '活络']",8.355153633066159e-05
"['化痰', '软坚']",0.002761238544440131
"['祛风湿', '强筋骨']",0.004820665720794454
"['解毒', '健胃']",0.0012775801980960955
"['解毒', '化湿']",9.478207062507682e-05
"['解毒', '镇惊']",1.0930206140180587e-07
"['清热', '接骨']",0.0009949543539505834
"['清热', '清肝']",0.00024303433769767846
"['清热', '养阴']",1.9290251618286902e-09
"['清热', '退黄']",0.00032291139436158023
"['祛风', '燥湿']",0.0002461978183907476
"['活血', '止痒']",0.0004764846144089674
"['利湿', '理气']",2.3499366761936535e-06
"['化痰', '利水']",9.17073955585268e-05
"['健脾', '理气']",0.0004712506529385152
"['平肝', '潜阳']",0.007856123206077426
"['清热', '软坚']",2.5638398247873617e-05
"['止痛', '通经']",3.2428406985696157e-05
"['止痛', '疏风']",2.761558836561484e-05
"['祛风', '接骨']",1.3238308397278686e-06
"['活血', '解表']",0.00020642027206230207
"['活血', '益气']",0.00014881865354410273
"['止血', '安神']",3.5728879910101874e-05
"['止血', '定痛']",0.0016937504736527775
"['止咳', '利水']",0.0002766499498777497
"['除湿', '利水']",0.0002218100393605038
"['除湿', '理气']",1.961450931453612e-05
"['利湿', '解表']",5.671649911387355e-05
"['散瘀', '杀虫']",0.0002960352041545544
"['燥湿', '泻火']",0.003192520342998856
"['清热', '补虚']",0.0007545773230663855
"['清热', '透疹']",4.4213771198675644e-06
"['止痛', '温经']",0.0014091270968600855
"['消肿', '平喘']",0.0002518396548808477
"['消肿', '润肺']",0.00024129133107442247
"['消肿', '利咽']",0.00013494615669223942
"['活血', '安神']",7.037433513712443e-05
"['活血', '补血']",0.0002772785165585656
"['止血', '消炎']",3.2980116793090986e-07
"['止血', '止带']",0.0008122767247296658
"['利湿', '杀虫']",0.0007296337872030878
"['利湿', '止痒']",4.659875967316651e-07
"['利湿', '通络']",2.3058742082415762e-07
"['散瘀', '化痰']",0.0001266625051016268
"['行气', '消食']",0.0007541164648537935
"['行气', '消积']",0.0008138146352788533
"['平喘', '祛痰']",0.0022528287428772442
"['止渴', '除烦']",0.005236105280245221
"['清热', '排脓']",4.830695840007948e-06
"['止痛', '散风']",0.00044121513021744274
"['消肿', '拔毒']",0.0010299578666643772
"['祛风', '补虚']",8.138040304972449e-07
"['活血', '疏风']",1.0495706033730734e-06
"['止血', '止痒']",0.0005827454325301185
"['止血', '润肺']",0.00013731244222980887
"['止咳', '止泻']",2.0091117523768354e-05
"['凉血', '杀虫']",0.00024487460760030944
"['益气', '补肾']",0.0017589565273607444
"['散风', '散热']",0.007687997545178647
"['解毒', '生津']",0.0020521105925955796
"['解毒', '止渴']",0.0007012854528086754
"['清热', '消痈']",8.07662348112359e-09
"['止痛', '明目']",0.0014628780989276446
"['止痛', '祛痰']",0.0002435006790404426
"['活血', '消食']",0.0003191918487351897
"['止血', '通络']",0.0005730906115459788
"['利尿', '化痰']",3.7335506676339225e-05
"['化痰', '行气']",2.3536648818656136e-05
"['化痰', '消积']",0.00047116646940775775
"['健脾', '止泻']",0.0006570623574614354
"['理气', '消食']",0.0009104776774365442
"['安神', '宁心']",0.005709212304557357
"['解毒', '镇痛']",0.00035818396713571676
"['止痛', '胜湿']",0.0015425495672212186
"['消肿', '明目']",0.001222002433781899
"['消肿', '解表']",0.000554100773203392
"['祛风', '通淋']",0.00044340453025304427
"['祛风', '敛疮']",0.0003349444140905433
"['活血', '消积']",0.000306462086912207
"['止血', '行气']",0.0017838445378035583
"['止血', '理气']",0.0009499943166534353
"['止血', '利咽']",0.00011666202924914826
"['止血', '养血']",0.00013503034336986852
"['止血', '镇痛']",0.00015519260125590462
"['除湿', '祛瘀']",4.3742073165264905e-06
"['散瘀', '利水']",0.00011261241374216358
"['散瘀', '解表']",6.391105551761811e-05
"['散瘀', '接骨']",0.00034270742840125656
"['化痰', '消食']",0.00036259941306221455
"['润肺', '滋阴']",0.0023475140439404296
"['补肾', '滋阴']",0.002368951844736844
"['祛风湿', '通经络']",0.005637082190252635
"['安神', '镇惊']",0.0036222714339023965
"['解毒', '定惊']",9.185055847016343e-07
"['清热', '化湿']",0.00019712672816840637
"['清热', '退翳']",0.0003363763323791513
"['止痛', '补肾']",0.0005776494419196254
"['止痛', '收敛']",0.00042051890068628417
"['消肿', '敛疮']",0.0004917020598687039
"['消肿', '祛风湿']",0.000402508797748391
"['消肿', '疏风']",7.625185905613119e-05
"['祛风', '消积']",0.0004097999467077562
"['活血', '敛疮']",0.00033206182804612627
"['止血', '消积']",0.0003131899829800222
"['止血', '祛痰']",9.971470014707995e-05
"['止咳', '理气']",0.00015765906378023553
"['除湿', '解表']",8.623654799699842e-07
"['利湿', '明目']",6.609791052936131e-05
"['利湿', '平喘']",1.1271735672169214e-05
"['利尿', '消食']",0.00015862324037430042
"['杀虫', '通便']",0.0007652355924022691
"['化痰', '燥湿']",0.0002754458162005924
"['健脾', '行气']",3.4257998640152554e-05
"['健脾', '补虚']",0.0010409688285896723
"['行气', '解表']",0.00043644430707795445
"['润肺', '养阴']",0.0030215747848168772
"['补肾', '益精']",0.004376684960732138
"['解毒', '发表']",1.4430620059457944e-05
"['消肿', '消食']",0.0006672624808954364
"['祛风', '益气']",0.0004590924097471749
"['活血', '祛痰']",0.0001547501937443907
"['活血', '温中']",0.00013787014499083705
"['活血', '补虚']",1.4057200138140047e-05
"['止血', '散结']",0.0010698341799959543
"['止咳', '通络']",8.747100049594225e-05
"['止咳', '消食']",1.223374595243909e-05
"['止咳', '祛风湿']",1.4381013047071178e-10
"['止咳', '安神']",3.9025050193042254e-06
"['除湿', '温中']",3.599685390792695e-05
"['散瘀', '利尿']",0.0006197096504821364
"['散瘀', '消积']",4.097164112992768e-05
"['杀虫', '敛疮']",0.00016178619696405327
"['化痰', '健脾']",5.5844218138645374e-14
"['健脾', '调经']",0.0001584058693396284
"['清肺', '利咽']",0.0026799950823959973
"['生津', '滋阴']",0.002311352924741439
"['壮阳', '温肾']",0.005458132116301279
"['解毒', '补肾']",0.0036931749798611024
"['解毒', '润燥']",0.00011462351142610405
"['清热', '清肺']",0.002143731368827062
"['止痛', '安神']",0.0005726666721252993
"['消肿', '益气']",0.0006408284295154054
"['祛风', '消食']",0.0006040446598212235
"['祛风', '补肾']",0.0004185042605778788
"['活血', '祛湿']",7.996389986442143e-06
"['止血', '散寒']",0.0013102944365219749
"['止血', '生津']",0.00011950192906112767
"['止血', '安胎']",0.0005137108283977398
"['止咳', '明目']",0.00019422732850682412
"['止咳', '接骨']",3.661938621057903e-05
"['止咳', '敛肺']",0.0018128664389434057
"['除湿', '接骨']",5.211383784359258e-05
"['利湿', '疏风']",9.288372894217245e-05
"['散瘀', '通络']",2.4715182964096805e-06
"['散瘀', '通淋']",1.1087670061527e-05
"['凉血', '止痢']",0.0003404724652791291
"['理气', '和胃']",0.0009693530907463888
"['理气', '健胃']",0.001004437929130464
"['敛疮', '收湿']",0.004570465841536087
"['强筋骨', '补肝肾']",0.005115033397967199
"['解毒', '退黄']",2.0261639647189966e-06
"['解毒', '退翳']",8.594013720086835e-05
"['清热', '祛风湿']",0.003091548769505348
"['清热', '和胃']",0.0018363221080179848
"['清热', '镇痛']",0.00041853960697857406
"['清热', '熄风']",3.999973528212575e-05
"['清热', '凉肝']",0.0008580548215280093
"['消肿', '补肾']",0.0005908490484891615
"['消肿', '安神']",0.0004696888643513919
"['祛风', '止痉']",0.0007744013119017068
"['活血', '明目']",0.0012577169711369685
"['活血', '消炎']",0.0001102069386154092
"['活血', '强筋']",0.00036987987852943327
"['止血', '舒筋']",0.0008614821176001763
"['止血', '活络']",0.0006219845948179925
"['止血', '平喘']",0.00040698144250450596
"['止血', '滋阴']",1.1484654300952801e-05
"['止咳', '通淋']",4.649925938737809e-05
"['除湿', '化瘀']",1.777853839535215e-06
"['散瘀', '生肌']",9.269141474810283e-06
"['凉血', '通淋']",2.0399522355774025e-05
"['凉血', '祛瘀']",3.556723195780043e-05
"['利尿', '祛瘀']",7.919756566787672e-05
"['利尿', '通经']",0.0003157043594728126
"['利尿', '强心']",0.0033452791707572205
"['杀虫', '行气']",6.455238600250324e-05
"['杀虫', '通络']",1.0043015575167402e-05
"['化痰', '散寒']",1.2148169281966936e-05
"['明目', '去翳']",0.004544655579413831
"['生肌', '收敛']",0.0010502569594235123
"['益气', '补虚']",0.0014631586370515426
"['生津', '养阴']",0.0026547129367527067
"['平肝', '熄风']",0.003986715753652351
"['滋阴', '养血']",0.0027527634761115582
"['解毒', '软坚']",0.0005194988227289477
"['解毒', '通乳']",5.44967159621379e-07
"['清热', '通乳']",6.083859402261638e-06
"['止痛', '发表']",0.00012269119320812427
"['消肿', '燥湿']",0.000973231139968167
"['消肿', '健胃']",0.00023092633971599774
"['消肿', '排脓']",0.0001065984897305472
"['祛风', '止泻']",0.0006076064883442367
"['祛风', '消炎']",0.00017459667475527851
"['祛风', '定惊']",0.0002454833383144228
"['祛风', '强筋']",0.00027161170416162284
"['活血', '活络']",0.0007546210431317313
"['活血', '止痢']",9.102009573069836e-05
"['活血', '平肝']",5.68766284930744e-05
"['活血', '镇痛']",1.1256281350013886e-05
"['止血', '消食']",0.000614650198519584
"['止血', '平肝']",4.3935195255973e-05
"['止血', '祛湿']",1.4924589269993405e-07
"['止血', '益肾']",4.397851815052256e-06
"['止血', '驱虫']",3.0195905544705415e-05
"['止咳', '化瘀']",2.1841114432596953e-06
"['止咳', '和胃']",7.844943928025927e-06
"['止咳', '利咽']",0.00022161768400286164
"['除湿', '消食']",4.45748822633929e-05
"['利湿', '化瘀']",9.55316867945477e-07
"['凉血', '化痰']",0.0003348115351658465
"['凉血', '明目']",1.9548798133317558e-05
"['凉血', '止痒']",7.337606666935059e-06
"['化痰', '解表']",0.00011292631363513106
"['利水', '散结']",4.178219368800029e-05
"['利水', '平喘']",0.0002463177877163325
"['健脾', '安神']",0.00032065745982115534
"['散寒', '通络']",0.00022470996939816246
"['明目', '安神']",0.0005879776998105601
"['消食', '温中']",0.00097480887830248
"['补肾', '固精']",0.0030235557891940545
"['生津', '养胃']",0.0044389006407586085
"['清热', '安胎']",1.6402470834453453e-05
"['清热', '息风']",2.6032037289458465e-05
"['清热', '利胆']",9.127745801207343e-05
"['止痛', '燥湿']",0.001331759085869022
"['祛风', '生肌']",0.0007515823779932207
"['祛风', '平肝']",0.00010525093851720957
"['祛风', '疗疮']",3.345152701789145e-05
"['活血', '止泻']",0.0006112665231037262
"['活血', '截疟']",3.592168561739051e-05
"['活血', '消痈']",0.00011129889297029072
"['止血', '益气']",0.0006006447970744455
"['止血', '补血']",7.1594017278520106e-06
"['止咳', '舒筋']",0.00020596631434849355
"['止咳', '生肌']",7.203667119215496e-05
"['止咳', '止痢']",1.4089785717819048e-05
"['除湿', '凉血']",0.0020464256622165777
"['利湿', '止泻']",2.346794187707557e-05
"['散瘀', '散寒']",0.00012800123521816698
"['散瘀', '调经']",7.269069490500879e-05
"['利尿', '除烦']",0.00076658418312614
"['杀虫', '明目']",6.795931423719814e-06
"['杀虫', '祛痰']",0.00011650781515171182
"['杀虫', '截疟']",0.00037462484180339484
"['化痰', '生津']",0.0002594437410392003
"['化痰', '降气']",0.0021033724227433326
"['利水', '通经']",0.0004296247915953344
"['利水', '软坚']",0.0010193674521299378
"['行气', '健胃']",0.0004459044886871433
"['行气', '化湿']",0.0009999912482260287
"['明目', '平肝']",0.0008468876599524999
"['调经', '补血']",0.0012905796741063402
"['生肌', '排脓']",0.0020844908271210882
"['益气', '养阴']",0.0018655821481009804
"['止泻', '温中']",0.0009272269314067327
"['安神', '平肝']",0.0013431032111679841
"['安神', '镇静']",0.002975518365233021
"['接骨', '续伤']",0.004218064616448122
"['止呕', '降逆']",0.004531754769471964
"['解毒', '熄风']",6.950416984063956e-06
"['清热', '润燥']",0.00018687011196172332
"['清热', '发表']",8.06686997956163e-05
"['清热', '降压']",3.927759891886318e-06
"['止痛', '截疟']",0.00018600115810285534
"['止痛', '发汗']",5.8749228586119084e-05
"['消肿', '软坚']",1.3442017848808163e-07
